hie	PAVD	hier	hièr
friunt	NA.Masc.Nom.Sg.st	vriunt	vriunt
,	$_	,	,
wie	AVW	wie	wiè
meinstu	VVFIN.*.Pres.Sg.2|PPER.*.Nom.Sg.2	meinest|dû	mèinen|dû
daz	DDS.Neut.Akk.Sg.*	daz	dër
?	$_	?	?
	
du	PPER.*.Nom.Sg.2	dû	dû
gihst	VVFIN.Ind.Pres.Sg.2	gihest	jëhen
mich	PPER.*.Akk.Sg.1	mich	ich
habe	VAFIN.Subj.Pres.Sg.3	habe	haben
der	DDART.Masc.Nom.Sg.*	der	dër
gotes	NA.Masc.Gen.Sg.st	gotes	got
haz	NA.Masc.Nom.Sg.st	haz	hazz
her	AVD	her	hëre
in	APPR	in	in
ditze	DDA.Neut.Akk.Sg.*	ditze	dise
lant	NA.Neut.Akk.Sg.st	lant	lant
brâht	VVPP	brâht	bringen
.	$_	.	.
	
dâ	PAVD	dâ	dâr
hân	VAFIN.Ind.Pres.Sg.1	hân	haben
ich	PPER.*.Nom.Sg.1	ich	ich
alles	DID.Neut.Gen.Sg.st	alles	all
an	PAVAP	an	ane
gedâht	VVPP	gedâht	gedènken
waz	PW.Neut.Akk.Sg.st	waz	wër
du	PPER.*.Nom.Sg.2	dû	dû
meinest	VVFIN.*.Pres.Sg.2	meinest	mèinen
dâ	PAVD	dâ	dâr
mite	PAVAP	mite	mite
.	$_	.	.
	
woldestu	VMFIN.*.Past.Sg.2|PPER.*.Nom.Sg.2	woltes|dû	wèllen|dû
mich	PPER.*.Akk.Sg.1	mich	ich
dînen	DPOSA.Masc.Akk.Sg.st	dînen	dîn
lantsite	NA.Masc.Akk.Sg.*	lantsite	lantsite
lêren	VVINF	lêren	lêren
,	$_	,	,
daz	DDS.Neut.Akk.Sg.*	daz	dër
dient	VVFIN.*.Past.Sg.1	dienete	diènen
ich	PPER.*.Nom.Sg.1	ich	ich
umb	APPR	umbe	umbe
dich.>	AVD	dicke	dicke
der	DDART.Fem.Gen.Sg.*	der	dër
verge	NA.Fem.Gen.Sg.st	verge	vërge
sprach<	VVFIN.Ind.Past.Sg.1	sprach	sprëchen
ir	PPER.*.Nom.Pl.2	ir	ir
sult	VMFIN.*.Pres.Pl.2	sulet	solen
mich	PPER.*.Akk.Sg.1	mich	ich
solher	DDA.Fem.Gen.Sg.st	solicher	solich
frâg	NA.Fem.Gen.Sg.st	vrâge	vrâge
erlâzen	VVINF	erlâzen	erlâzen
und	KON	und	unte
vart	VVIMP.Pl.2	vart	varen
iuwer	DPOSA	iuwer	iuwer
strâzen	NA.Fem.Gen.Sg.st	strâzen	strâze
.	$_	.	.
	
ir	PPER.*.Nom.Pl.2	ir	ir
wert	VAFIN.*.Pres.Pl.2	werdet	wërden
des	DDS.Neut.Gen.Sg.*	des	dër
wol	AVD	wole	wole
inne	PTKVZ	inne	inne
brâht	VVPP	brâht	bringen
wes	PW.Neut.Gen.Sg.st	wes	wër
ich	PPER.*.Nom.Sg.1	ich	ich
hân	VAFIN.Ind.Pres.Sg.1	hân	haben
mit	APPR	mit	mit
der	DDART.Fem.Dat.Sg.*	der	dër
rede	NA.Fem.Dat.Sg.st	rede	rède
gedâht	VVPP	gedâht	gedènken
.	$_	.	.
	
vil	AVD	vile	vile
sêr	AVD	sêr	sêre
mich	PPER.*.Akk.Sg.1	mich	ich
des	DDS.Neut.Gen.Sg.*	des	dër
betrâget	VVFIN.Ind.Pres.Sg.3	betrâget	betrâgen
daz	KOUS	daz	dazz
ir	PPER.*.Nom.Pl.2	ir	ir
sô	AVD	sô	sô
vil	AVD	vile	vile
gefrâget	VVFIN.*.Pres.Pl.2	gevrâget	gevrâgen
.	$_	.	.
	
mir	PPER.*.Dat.Sg.1	mir	ich
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
iuwer	DPOSA.Fem.Nom.Sg.*	iuwer	iuwer
frâge	NA.Fem.Nom.Sg.*	vrâge	vrâge
zorn.>	ADJD.Pos	zorn	zorne
zehant	AVD	zehant	zehant
dô	AVD	dô	dô
blies	VVFIN.Ind.Past.Sg.3	blies	blâsen
er	PPER.Masc.Nom.Sg.3	er	ër
sîn	DPOSA.Neut.Akk.Sg.*	sîn	sîn
horn	NA.Neut.Akk.Sg.st	horn	horn
nâch	APPR	nâch	nâh
einander	DIA	einander	èinander
drîstunt	CARDA.*.Akk.Pl.st|NA.Fem.Akk.Pl.st	drî|stunte	drî|stunte
.	$_	.	.
	
meleranze	NE.Dat.Sg	Meleranze	Meleranze
was	VAFIN.Ind.Past.Sg.3	was	wësen
wol	AVD	wole	wole
kunt	ADJD.Pos	kunt	kund
wiez	AVW|PPER.Neut.Nom.Sg.3	wie|ez	wiè|ër
umb	APPR	umbe	umbe
sîn	DPOSA	sîn	sîn
blâsen	NA.Neut.Akk.Sg.st	blâsen	blâsen
was	VAFIN.Ind.Past.Sg.3	was	wësen
gewant	VVPP	gewant	wènten
.	$_	.	.
	
von	APPR	von	von
im	PPER.Masc.Dat.Sg.3	im	ër
kêrt	VVFIN.*.Past.Sg.3	kêrte	kêren
er	PPER.Masc.Nom.Sg.3	er	ër
alzehant	AVD	alzehant	allzehant
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
wolt	VMFIN.*.Past.Sg.3	wolte	wèllen
niht	PTKNEG	niht	niht
mêr	AVD.Comp	mêr	mêre
ze	APPR	ze	ze
reden	NA.Neut.Dat.Sg.wk	reden	rèden
hân	VAINF	hân	haben
mit	APPR	mit	mit
dem	DDART.Masc.Dat.Sg.*	dem	dër
ungezogen	ADJA.Pos.Masc.Dat.Sg.*	ungezogen	ungezogen
schefman	NA.Masc.Dat.Sg.st	schifmanne	schiffmann
.	$_	.	.
	
die	DDART.Fem.Akk.Sg.*	die	dër
strâz	NA.Fem.Akk.Sg.st	strâze	strâze
er	PPER.Masc.Nom.Sg.3	er	ër
alles	AVD	alles	alles
für	APPR	vüre	vüre
sich	PRF.Akk.*.*	sich	sich
reit	VVFIN.Ind.Past.Sg.3	reit	rîten
.	$_	.	.
	
nu	AVD	nû	nû
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
der	DDART.Masc.Nom.Sg.*	der	dër
degen	NA.Masc.Nom.Sg.st	degen	dëgen
unverzeit	ADJN.Masc.Nom.Sg.*	unverzeit	unverzaget
die	DDART.Fem.Akk.Sg.*	die	dër
vesten	ADJA.Pos.Fem.Akk.Sg.wk	vesten	vèste
klûse	NA.Fem.Akk.Sg.st	klûse	klûse
vor	APPR	vore	vore
im	PPER.Masc.Dat.Sg.3	im	ër
stân	VVINF	stân	stân
.	$_	.	.
	
dâ	PAVD	dâ	dâr
vor	PAVAP	vore	vore
lac	VVFIN.Ind.Past.Sg.3	lac	ligen
ein	DIART	ein	èin
schoener	ADJA.Pos.Masc.Nom.Sg.st	schoener	schoène
plân	NA.Masc.Nom.Sg.st	plân	plân
,	$_	,	,
der	DDS.Masc.Nom.Sg.*	der	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
schoen	ADJD.Pos	schoene	schoène
eben	ADJD.Pos	eben	ëbene
und	KON	und	unte
niht	PTKNEG	niht	niht
wît	ADJD.Pos	wît	wît
.	$_	.	.
	
an	APPR	an	ane
die	DDART.Fem.Akk.Sg.*	die	dër
klûs	NA.Fem.Akk.Sg.st	klûs	klûse
ze	APPR	ze	ze
einer	DIART.Fem.Dat.Sg.st	einer	èin
sît	NA.Fem.Dat.Sg.st	sît	sîte
gienc	VVFIN.Ind.Past.Sg.3	gienc	gân
daz	DDART.Neut.Nom.Sg.*	daz	dër
wazzer	NA.Neut.Nom.Sg.st	wazzer	wazzer
und	KON	und	unte
der	DDART.Masc.Nom.Sg.*	der	dër
walt	NA.Masc.Nom.Sg.st	walt	wald
.	$_	.	.
	
meleranz	NE.Nom.Sg	Meleranz	Meleranz
der	DDART.Masc.Nom.Sg.*	der	dër
degen	NA.Masc.Nom.Sg.st	degen	dëgen
balt	ADJN.Masc.Nom.Sg.*	balt	bald
gên	APPR	gein	gègen
der	DDART.Fem.Dat.Sg.*	der	dër
klûsen	NA.Fem.Dat.Sg.st	klûsen	klûse
kêrte	VVFIN.*.Past.Sg.3	kêrte	kêren
,	$_	,	,
als	KO*	als	allsô
in	PPER.Masc.Akk.Sg.3	in	ër
sîn	DPOSA.Fem.Nom.Sg.*	sîn	sîn
manheit	NA.Fem.Nom.Sg.st	manheit	mannhèit
lêrte	VVFIN.*.Past.Sg.3	lêrte	lêren
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
west	VVFIN.*.Past.Sg.3	weste	wizzen
wol	AVD	wole	wole
an	APPR	an	ane
den	DDART.*.Dat.Pl.*	den	dër
zîten	NA.Fem,Neut.Dat.Pl.st	zîten	zît
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
müeste	VMFIN.*.Past.Sg.3	muoste	müèzen
strîten	VVINF	strîten	strîten
:	$_	:	:
des	DDS.Neut.Gen.Sg.*	des	dër
het	VAFIN.*.Past.Sg.3	hæte	haben
er	PPER.Masc.Nom.Sg.3	er	ër
sich	PRF.Akk.*.*	sich	sich
gar	AVD	gar	gare
verwegen	VVPP	verwegen	verwëgen
.	$_	.	.
	
ûf	APPR	ûf	ûf
den	DDART.Masc.Akk.Sg.*	den	dër
anger	NA.Masc.Akk.Sg.st	anger	anger
reit	VVFIN.Ind.Past.Sg.3	reit	rîten
der	DDART.Masc.Nom.Sg.*	der	dër
degen	NA.Masc.Nom.Sg.st	degen	dëgen
und	KON	und	unte
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
der	DDART.Fem.Gen.Sg.*	der	dër
klûse	NA.Fem.Gen.Sg.st	klûse	klûse
rehte	AVD	rehte	rëhte
war	NA.Fem.Akk.Sg.st	war	ware
.	$_	.	.
	
ein	DIART.Fem.Akk.Sg.*	ein	èin
hôhe	ADJA.Pos.Fem.Akk.Sg.st	hôhe	hôh
mûre	NA.Fem.Akk.Sg.st	mûre	mûre
het	VAFIN.*.Past.Sg.3	hæte	haben
si	PPER.Fem.Nom.Sg.3	si	ër
gar	AVD	gar	gare
umbfangen	VVPP	umbevangen	umbevâhen
gên	APPR	gein	gègen
der	DDART.Fem.Dat.Sg.*	der	dër
heide	NA.Fem.Dat.Sg.st	heide	hèide
wît	AVD	wît	wîte
.	$_	.	.
	
ein	DIART	ein	èin
gebirge	NA.Neut.Nom.Sg.st	gebirge	gebirge
stiez	VVFIN.Ind.Past.Sg.3	stiez	stôzen
ze	APPR	ze	ze
der	DDART.Fem.Dat.Sg.*	der	dër
andern	DIA.Fem.Dat.Sg.wk	andern	ander
sît	NA.Fem.Dat.Sg.*	sît	sîte
dar	PAVD	dâr	dâr
an	PAVAP	an	ane
,	$_	,	,
als	KO*	als	allsô
ich	PPER.*.Nom.Sg.1	ich	ich
hân	VAFIN.Ind.Pres.Sg.1	hân	haben
vernomen	VVPP	vernomen	vernëmen
:	$_	:	:
dâ	AVD	dâ	dâr
mohte	VMFIN.*.Past.Sg.3	mohte	mügen
nieman	DIA.*.Nom.Sg.st	nieman	nièmannd
überkomen	VVINF	überkomen	überkomen
.	$_	.	.
	
anderhalp	AVD	anderhalp	anderhalben
daz	DDART.Neut.Nom.Sg.*	daz	dër
wazzer	NA.Neut.Nom.Sg.st	wazzer	wazzer
ran	VVFIN.Ind.Past.Sg.3	ran	rinnen
.	$_	.	.
	
meleranz	NE.Nom.Sg	Meleranz	Meleranz
der	DDART.Masc.Nom.Sg.*	der	dër
werde	ADJA.Pos.Masc.Nom.Sg.wk	werde	wërd
man	NA.Masc.Nom.Sg.st	man	mann
über	APPR	über	über
den	DDART.Masc.Akk.Sg.*	den	dër
anger	NA.Masc.Akk.Sg.st	anger	anger
gên	APPR	gein	gègen
der	DDART.Fem.Dat.Sg.*	der	dër
klûse	NA.Fem.Dat.Sg.st	klûse	klûse
reit	VVFIN.Ind.Past.Sg.3	reit	rîten
.	$_	.	.
	
nu	AVD	nû	nû
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
der	DDART.Masc.Nom.Sg.*	der	dër
degen	NA.Masc.Nom.Sg.st	degen	dëgen
unverzeit	ADJN.Masc.Nom.Sg.*	unverzeit	unverzaget
daz	KOUS	daz	dazz
daz	DDART.Neut.Nom.Sg.*	daz	dër
tor	NA.Neut.Nom.Sg.st	tor	tor
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
ûf	PTKVZ	ûf	ûf
getân	VVPP	getân	tuon
und	KON	und	unte
daz	KOUS	daz	dazz
ein	DIART.Masc.Nom.Sg.*	ein	èin
wol	AVD	wole	wole
gewâfent	ADJA.Pos.Masc.Nom.Sg.*	gewâfenet	wâfenen
man	NA.Masc.Nom.Sg.st	man	mann
gegen	APPR	gegen	gègen
im	PPER.Masc.Dat.Sg.3	im	ër
über	APPR	über	über
den	DDART.Masc.Akk.Sg.*	den	dër
anger	NA.Masc.Akk.Sg.st	anger	anger
her	PPER.Masc.Nom.Sg.3	her	ër
reit	VVFIN.Ind.Past.Sg.3	reit	rîten
mit	APPR	mit	mit
ûfgeworfem	AVD|ADJA.Pos.Neut.Dat.Sg.st	ûf|geworfenem	ûf|wërfen
sper	NA.Neut.Dat.Sg.st	sper	spër
,	$_	,	,
als	KO*	als	allsô
er	PPER.Masc.Nom.Sg.3	er	ër
tjostieren	VVINF	tjostieren	tjostièren
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
.	$_	.	.
	
von	APPR	von	von
gestein	NA.Neut.Dat.Sg.st	gesteine	gestèine
und	KON	und	unte
ouch	AVD	ouch	ouch
von	APPR	von	von
golde	NA.Neut.Dat.Sg.st	golde	gold
was	VAFIN.Ind.Past.Sg.3	was	wësen
sîn	DPOSA.Fem.Nom.Sg.*	sîn	sîn
zimierde	NA.Fem.Nom.Sg.*	zimierde	zimièrede
liehtgevar	ADJD.Pos	liehtgevar	lièhtgevarw
.	$_	.	.
	
sîn	DPOSA	sîn	sîn
schilt	NA.Masc.Nom.Sg.st	schilt	schilt
was	VAFIN.Ind.Past.Sg.3	was	wësen
sîn	DPOSA	sîn	sîn
decke	NA.Fem.Nom.Sg.*	decke	dècke
gar	AVD	gar	gare
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
ein	DIART	ein	èin
rôter	ADJA.Pos.Masc.Nom.Sg.st	rôter	rôt
samît	NA.Masc.Nom.Sg.st	samît	samît
.	$_	.	.
	
sîn	DPOSA	sîn	sîn
wâpenroc	NA.Masc.Nom.Sg.st	wâpenroc	wâfenrock
sîn	DPOSA.Masc.Nom.Sg.*	sîn	sîn
kursît	NA.Masc.Nom.Sg.st	kursît	kursît
was	VAFIN.Ind.Past.Sg.3	was	wësen
ein	DIART.Masc.Nom.Sg.*	ein	èin
rôter	ADJA.Pos.Masc.Nom.Sg.st	rôter	rôt
phellel	NA.Masc.Nom.Sg.st	pfellel	pfèllel
rîch	ADJN.Masc.Nom.Sg.*	rîche	rîche
.	$_	.	.
	
dar	PAVD	dâr	dâr
inne	PAVAP	inne	inne
was	VAFIN.Ind.Past.Sg.3	was	wësen
vil	AVD	vile	vile
meisterlîch	AVD	meisterlîche	mèisterlîche
wîze	ADJA.Pos.Masc.Nom.Pl.st	wîze	wîz
winde	NA.Masc.Nom.Pl.st	winde	wint
gesniten	VVPP	gesniten	snîden
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
het	VAFIN.*.Past.Sg.3	hæte	haben
mit	APPR	mit	mit
unverzagten	ADJA.Pos.*.Dat.Pl.*	unverzageten	unverzaget
siten	NA.Fem,Masc.Dat.Pl.*	sîten	site
vil	AVD	vile	vile
mangen	DIA.Masc.Akk.Sg.st	manigen	manig
hôhen	ADJA.Pos.Masc.Akk.Sg.*	hôhen	hôh
prîs	NA.Masc.Akk.Sg.st	prîs	prîs
bejagt	VVPP	bejaget	bejagen
.	$_	.	.
	
ez	PPER.Neut.Akk.Sg.3	ez	ër
fuort	VVFIN.*.Past.Sg.3	vuorte	vüèren
der	DDART.Masc.Nom.Sg.*	der	dër
helt	NA.Masc.Nom.Sg.st	helt	hèled
unverzagt	ADJN	unverzaget	unverzaget
einen	DIART.Masc.Akk.Sg.st	einen	èin
wint	NA.Masc.Akk.Sg.st	wint	wint
snêwîz	ADJN	snêwîz	snêwîz
an	APPR	an	ane
sînem	DPOSA.Masc.Dat.Sg.st	sînem	sîn
schilt	NA.Masc.Dat.Sg.st	schilde	schilt
,	$_	,	,
vil	AVD	vile	vile
grôzer	ADJA.Pos.Masc.Nom.Sg.st	grôzer	grôz
vlîz	NA.Masc.Nom.Sg.st	vlîz	vlîz
lac	VVFIN.Ind.Past.Sg.3	lac	ligen
an	APPR	an	ane
der	DDART.Fem.Dat.Sg.*	der	dër
zimierde	NA.Fem.Dat.Sg.st	zimierde	zimièrede
sîn	DPOSN	sîn	sîn
.	$_	.	.
	
ab	APPR	ab	abe
sînem	DPOSA.Masc.Dat.Sg.st	sînem	sîn
helm	NA.Masc.Dat.Sg.*	helme	hëlme
gap	VVFIN.Ind.Past.Sg.3	gap	gëben
liehten	ADJA.Pos.Masc.Akk.Sg.*	liehten	lièht
schîn	NA.Masc.Akk.Sg.*	schîn	schîne
ein	DIART.Masc.Nom.Sg.*	ein	èin
fluc	NA.Masc.Nom.Sg.st	vluc	vlug
wîz	ADJN.Masc.Nom.Sg.*	wîz	wîz
,	$_	,	,
der	DDART.Masc.Nom.Sg.*	der	dër
ander	DIA.Masc.Nom.Sg.wk	ander	ander
rôt	NA.Masc.Nom.Sg.st	rot	rât
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
ein	DIART.Masc.Nom.Sg.*	ein	èin
helt	NA.Masc.Nom.Sg.st	helt	hèled
in	APPR	in	in
grôzer	ADJA.Pos.Fem.Dat.Sg.st	grôzer	grôz
nôt	NA.Fem.Dat.Sg.st	nôt	nôt
.	$_	.	.
	
sîn	DPOSA	sîn	sîn
ros	NA.Neut.Nom.Sg.st	ros	ross
was	VAFIN.Ind.Past.Sg.3	was	wësen
starc	ADJD.Pos	starc	stark
unde	KON	unde	unte
guot	ADJD.Pos	guot	guot
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
helt	NA.Masc.Nom.Sg.st	helt	hèled
truoc	VVFIN.Ind.Past.Sg.3	truoc	tragen
vil	AVD	vile	vile
hôhen	ADJA.Pos.Masc.Akk.Sg.*	hôhen	hôh
muot	NA.Masc.Akk.Sg.st	muot	muot
.	$_	.	.
	
sîn	DPOSA	sîn	sîn
swert	NA.Neut.Nom.Sg.st	swert	swërt
was	VAFIN.Ind.Past.Sg.3	was	wësen
grôz	ADJD.Pos	grôz	grôz
und	KON	und	unte
unbesniten	ADJD.Pos	unbesniten	unbesniten
.	$_	.	.
	
mit	APPR	mit	mit
unverzagtlîchen	ADJA.Pos.*.Dat.Pl.*	unverzagetlîchen	unverzagelich
siten	NA.Fem,Masc.Dat.Pl.*	sîten	site
stapft	VVFIN.*.Past.Sg.3	stapfete	stapfen
er	PPER.Masc.Nom.Sg.3	er	ër
über	APPR	über	über
den	DDART.Masc.Akk.Sg.*	den	dër
anger	NA.Masc.Akk.Sg.st	anger	anger
her	AVD	her	hëre
mit	APPR	mit	mit
rehter	ADJA.Pos.Fem.Dat.Sg.st	rehter	rëht
manlîcher	ADJA.Pos.Fem.Dat.Sg.st	manlîcher	mannlich
ger	NA.Fem.Dat.Sg.st	ger	gëre
.	$_	.	.
	
meleranz	NE.Nom.Sg	Meleranz	Meleranz
was	VAFIN.Ind.Past.Sg.3	was	wësen
ouch	AVD	ouch	ouch
bereit	ADJD.Pos	bereit	berèite
,	$_	,	,
als	KO*	als	allsô
mir	PPER.*.Dat.Sg.1	mir	ich
diu	DDART.Fem.Nom.Sg.*	diu	dër
âventiure	NA.Fem.Nom.Sg.*	âventiure	âventiure
seit	VVFIN.Ind.Pres.Sg.3	seit	sagen
.	$_	.	.
	
in	PPER.*.Dat.Pl.3	in	ër
beiden	DIS.*.Dat.Pl.st	beiden	bèide
was	VAFIN.Ind.Past.Sg.3	was	wësen
zesamen	AVD	zesamene	zesamene
ger	NA.Fem.Nom.Sg.*	ger	gëre
.	$_	.	.
	
von	APPR	von	von
rabîn	NA.Masc.Dat.Sg.st	rabîne	raben
santen	VVFIN.*.Past.Pl.3	santen	sènten
si	PPER.*.Nom.Pl.3	si	ër
diu	DDART.Neut.Akk.Pl.*	diu	dër
sper	NA.Neut.Akk.Pl.st	sper	spër
.	$_	.	.
	
ein	DIART.Fem.Nom.Sg.*	ein	èin
rîchiu	ADJA.Pos.Fem.Nom.Sg.st	rîchiu	rîche
tjost	NA.Fem.Nom.Sg.*	tjoste	tjoste
dâ	AVD	dâ	dâr
geschach	VVFIN.Ind.Past.Sg.3	geschach	geschëhen
.	$_	.	.
	
meleranz	NE.Nom.Sg	Meleranz	Meleranz
den	DDART.Masc.Akk.Sg.*	den	dër
truhsaezen	NA.Masc.Akk.Sg.wk	truhtsæzen	truhtsæze
stach	VVFIN.Ind.Past.Sg.3	stach	stëchen
hinder	APPR	hinder	hinter
daz	DDART.Neut.Akk.Sg.*	daz	dër
ros	NA.Neut.Akk.Sg.st	ros	ross
ûf	APPR	ûf	ûf
den	DDART.Masc.Akk.Sg.*	den	dër
plân	NA.Masc.Akk.Sg.st	plân	plân
:	$_	:	:
daz	DDS.Neut.Nom.Sg.*	daz	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
im	PPER.Masc.Dat.Sg.3	im	ër
selten	AVD	selten	sëltene
ê	AVD	êr	êr
getân	VVPP	getân	tuon
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
reit	VVFIN.Ind.Past.Sg.3	reit	rîten
ûf	APPR	ûf	ûf
in	PPER.Masc.Akk.Sg.3	in	ër
und	KON	und	unte
trat	VVFIN.Ind.Past.Sg.3	trat	trëten
in	PPER.Masc.Akk.Sg.3	in	ër
nider	PTKVZ	nider	nidere
.	$_	.	.
	
des	DDS.Neut.Gen.Sg.*	des	dër
erholt	VVFIN.*.Past.Sg.3	erholete	erholen
er	PPER.Masc.Nom.Sg.3	er	ër
sich	PRF.Akk.*.*	sich	sich
wider	PTKVZ	wider	widere
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
spranc	VVFIN.Ind.Past.Sg.3	spranc	springen
ûf	PTKVZ	ûf	ûf
vil	AVD	vile	vile
ritterlîch	AVD	ritterlîche	rîtærelîche
.	$_	.	.
	
meleranz	NE.Nom.Sg	Meleranz	Meleranz
der	DDART.Masc.Nom.Sg.*	der	dër
ellens	NA.Neut.Gen.Sg.st	ellenes	èllent
rîch	ADJA.Pos.Masc.Nom.Sg.*	rîche	rîche
erbeizte	VVFIN.*.Past.Sg.3	erbeizte	erbèizen
von	APPR	von	von
dem	DDART.Neut.Dat.Sg.*	dem	dër
ros	NA.Neut.Dat.Sg.st	rosse	ross
zehant	AVD	zehant	zehant
zuo	APPR	zuo	ze
im	PPER.Masc.Dat.Sg.3	im	ër
nider	AVD	nider	nidere
ûf	APPR	ûf	ûf
daz	DDART.Neut.Akk.Sg.*	daz	dër
lant	NA.Neut.Akk.Sg.st	lant	lant
.	$_	.	.
	
die	DDART.*.Nom.Pl.*	die	dër
zwêne	CARDA.Masc.Nom.Pl.st	zwêne	zwêne
muotes	NA.Masc,Neut.Gen.Sg.st	muotes	muot
rîche	ADJA.Pos.Masc.Nom.Pl.st	rîche	rîche
man	NA.Masc.Nom.Pl.st	manne	mann
liefen	VVFIN.*.Past.Pl.3	liefen	loufen
beid	DID.Masc.Nom.Pl.st	beide	bèide
einander	DIA	einander	èinander
an	PTKVZ	an	ane
mit	APPR	mit	mit
den	DDART.*.Dat.Pl.*	den	dër
swerten	NA.Neut.Dat.Pl.st	swerten	swërt
manlîche	AVD	manlîche	mannlîche
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
truhsaez	NA.Masc.Nom.Sg.st	<unknown>	<unknown>
ellens	NA.Neut.Gen.Sg.st	ellenes	èllent
rîche	ADJN.Masc.Nom.Sg.wk	rîche	rîche
vil	NA.Neut.Akk.Sg.st	vile	vile
guoter	ADJA.Pos.Fem.Gen.Sg.st	guoter	guot
ritterschefte	NA.Fem.Gen.Sg.st	ritterschafte	rîtæreschaft
pflac	VVFIN.Ind.Past.Sg.3	pflac	pflëgen
.	$_	.	.
	
mangen	DIA.Masc.Akk.Sg.st	manigen	manig
ellenthaften	ADJA.Pos.Masc.Akk.Sg.*	ellenthaften	èllenthaft
slac	NA.Masc.Akk.Sg.st	slac	slag
sluoc	VVFIN.Ind.Past.Sg.3	sluoc	slahen
er	PPER.Masc.Nom.Sg.3	er	ër
ûf	APPR	ûf	ûf
den	DDART.Masc.Akk.Sg.*	den	dër
jungen	ADJA.Pos.Masc.Akk.Sg.*	jungen	jung
man	NA.Masc.Akk.Sg.st	man	mann
.	$_	.	.
	
meleranzen	NE.Akk.Sg	Meleranzen	Meleranze
treip	VVFIN.Ind.Past.Sg.3	treip	trîben
er	PPER.Masc.Nom.Sg.3	er	ër
dan	AVD	danne	danne
mit	APPR	mit	mit
slegen	NA.Masc.Dat.Pl.st	slegen	slag
über	APPR	über	über
den	DDART.Masc.Akk.Sg.*	den	dër
anger	NA.Masc.Akk.Sg.st	anger	anger
wît	ADJN.Masc.Akk.Sg.*	wît	wît
.	$_	.	.
	
diz	DDS.Neut.Nom.Sg.*	diz	dise
was	VAFIN.Ind.Past.Sg.3	was	wësen
der	DDART.Masc.Nom.Sg.*	der	dër
erste	ADJA.Sup.Masc.Nom.Sg.wk	êrste	êrest
swertes	NA.Neut.Gen.Sg.st	swertes	swërt
strît	NA.Masc.Nom.Sg.st	strît	strît
den	DRELS.Masc.Akk.Sg	den	dër
meleranz	NE.Nom.Sg	Meleranz	Meleranz
ie	AVD	ie	iè
gestreit	VVFIN.Ind.Past.Sg.3	gestreit	gestrîten
.	$_	.	.
	
sîn	DPOSA.Fem.Nom.Sg.*	sîn	sîn
kraft	NA.Fem.Nom.Sg.st	kraft	kraft
und	KON	und	unte
sîn	DPOSA.Fem.Nom.Sg.*	sîn	sîn
manheit	NA.Fem.Nom.Sg.st	manheit	mannhèit
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
wol	AVD	wole	wole
dem	DDART.Masc.Dat.Sg.*	dem	dër
truhsaezen	NA.Masc.Dat.Sg.wk	truhtsæzen	truhtsæze
kunt	ADJD.Pos	kunt	kund
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
sluoc	VVFIN.Ind.Past.Sg.3	sluoc	slahen
in	PPER.Masc.Akk.Sg.3	in	ër
in	APPR	in	in
kurzer	ADJA.Pos.Fem.Dat.Sg.st	kurzer	kurz
stunt	NA.Fem.Dat.Sg.st	stunt	stunte
hin	AVD	hin	hine
wider	AVD	wider	widere
gên	APPR	gein	gègen
dem	DDART.Neut.Dat.Sg.*	dem	dër
burctor	NA.Neut.Dat.Sg.st	burctore	burgtor
.	$_	.	.
	
an	APPR	an	ane
der	DDART.Fem.Dat.Sg.*	der	dër
zinnen	NA.Fem.Dat.Sg.st	zinnen	zinne
und	KON	und	unte
dâ	PAVD	dâ	dâr
vor	PAVAP	vore	vore
stuonden	VVFIN.Ind.Past.Pl.3	stuonden	stân
wîp	NA.Neut.Nom.Pl.st	wîp	wîb
und	KON	und	unte
ouch	AVD	ouch	ouch
man	NA.Masc.Nom.Pl.st	manne	mann
und	KON	und	unte
sâhen	VVFIN.Ind.Past.Pl.3	sâhen	sëhen
disen	DDA.Masc.Akk.Sg.*	disen	dise
strît	NA.Masc.Akk.Sg.st	strît	strît
