welt	VMFIN.*.Pres.Pl.2	wellt	wèllen
wol	AVD	wole	wole
sîn	VAINF	sîn	sîn
saeleclîch	ADJD.Pos	sæliclich	sæliglich
,	$_	,	,
sît	KOUS	sît	sîd
ein	DIART	ein	èin
sô	AVD	sô	sô
hôher	ADJA.Pos.Masc.Nom.Sg.st	hôher	hôh
künic	NA.Masc.Nom.Sg.st	küninc	küning
rîch	ADJN.Masc.Nom.Sg.*	rîche	rîche
ûf	APPR	ûf	ûf
genâde	NA.Fem.Akk.Sg.st	genâde	genâde
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
komen	VVPP	komen	komen
in	APPR	in	in
dîn	DPOSA.Neut.Akk.Sg.*	dîn	dîn
lant	NA.Neut.Akk.Sg.st	lant	lant
und	KON	und	unte
gern	AVD	gerne	gërne
wil	VMFIN.Ind.Pres.Sg.3	wile	wèllen
warten	VVINF	warten	warten
dîner	DPOSA.Fem.Gen.Sg.st	dîner	dîn
hant	NA.Fem.Gen.Sg.st	hant	hant
.	$_	.	.
	
du	PPER.*.Nom.Sg.2	dû	dû
gewunne	VVFIN.Ind.Past.Sg.2	gewünne	gewinnen
nie	AVD	nie	niè
bî	APPR	bî	bî
dînen	DPOSA.*.Dat.Pl.st	dînen	dîn
tagen	NA.Masc.Dat.Pl.st	tagen	tag
(	$_	(	(
daz	DDS.Neut.Akk.Sg.*	daz	dër
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
ich	PPER.*.Nom.Sg.1	ich	ich
dir	PPER.*.Dat.Sg.2	dir	dû
vür	APPR	vür	vüre
wâr	NA.Neut.Akk.Sg.st	wâr	wâr
sagen	VVINF	sagen	sagen
)	$_	)	)
sô	AVD	sô	sô
edele	ADJA.Pos.Masc.Nom.Pl.st	edele	èdele
dienaere	NA.Masc.Akk.Pl.st	dienære	diènære
,	$_	,	,
als	KO*	als	allsô
den	DDART.Masc.Akk.Sg.*	den	dër
bernaere	NA.Masc.Akk.Sg.st	Bernære	Bërnere
.	$_	.	.
	
nû	AVD	nû	nû
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
ich	PPER.*.Nom.Sg.1	ich	ich
ein	DIART.Neut.Akk.Sg.*	ein	èin
anderz	DIS.Neut.Akk.Sg.st	anderz	ander
mezzen	VVINF	mezzen	mëzzen
unde	KON	unde	unte
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
des	DDS.Neut.Gen.Sg.*	des	dër
niht	PTKNEG	niht	niht
vergezzen	VVINF	vergezzen	vergëzzen
:	$_	:	:
die	DDART.Masc.Akk.Pl.*	die	dër
hôhen	ADJA.Pos.*.Akk.Pl.wk	hôhen	hôh
recken	NA.Masc.Akk.Pl.wk	recken	rècke
,	$_	,	,
die	DRELS.Masc.Akk.Pl	die	dër
er	PPER.Masc.Nom.Sg.3	er	ër
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
,	$_	,	,
der	DDART.Fem.Gen.Sg.*	der	dër
manheit	NA.Fem.Dat.Sg.st	manheit	mannhèit
an	APPR	an	ane
maneger	DIA.Fem.Dat.Sg.st	maniger	manig
stat	NA.Fem.Dat.Sg.st	stat	stat
hie	AVD	hier	hièr
und	KON	und	unte
dort	AVD	dort	dort
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
wol	AVD	wole	wole
erkant	VVPP	erkant	erkènnen
.	$_	.	.
	
sîn	PPER.Masc.Gen.Sg.3	sîn	ër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
getiuwert	VVPP	getiuret	tiuren
immer	AVD	iemer	ièmer
mêr	AVD.Comp	mêr	mêre
dîn	DPOSA.Neut.Nom.Sg.*	dîn	dîn
lant	NA.Neut.Nom.Sg.st	lant	lant
und	KON	und	unte
elliu	DIA.Neut.Nom.Pl.st	alliu	all
dîniu	DPOSA.Neut.Nom.Pl.st	dîniu	dîn
rîche	NA.Neut.Nom.Pl.st	rîche	rîche
,	$_	,	,
behaldestû	VVFIN.*.Pres.Sg.2|PPER.*.Nom.Sg.2	behaltes|dû	behalten|dû
dietrîche.>	NE.Gen.Sg	Dietrîches	Dièterîch
etzel	NE.Nom.Sg	Ètzel	Ètzele
sprach<	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
vrouwe	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
mîn	DPOSN.Fem.Nom.Sg.*	mîn	mîn
,	$_	,	,
er	PPER.Masc.Nom.Sg.3	er	ër
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
mir	PPER.*.Dat.Sg.1	mir	ich
wol	AVD	wole	wole
bevolhen	VVINF	bevolhen	bevëlhen
sîn.>	PPER.Masc.Gen.Sg.3	sîn	ër
in	APPR	in	in
der	DDART.Fem.Dat.Sg.*	der	dër
zît	NA.Fem.Dat.Sg.st	zît	zît
kom	VVFIN.Ind.Past.Sg.3	kom	komen
dietrîch	NE.Nom.Sg	Dieterîch	Dièterîch
.	$_	.	.
	
vrou	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
helche	NE.Nom.Sg	Helche	Helche
diu	DDART.Fem.Nom.Sg.*	diu	dër
küniginne	NA.Fem.Nom.Sg.*	küninginne	küninginne
rîch	ADJN.Fem.Nom.Sg.*	rîche	rîche
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
zem	APPR|DDART.Masc.Dat.Sg.*	ze|dem	ze|dër
künege<	NA.Masc.Dat.Sg.st	küninge	küning
sich	PRF.Akk.*.*	sich	sich
wâ	AVW	wâ	wâr
er	PPER.Masc.Nom.Sg.3	er	ër
gât	VVFIN.Ind.Pres.Sg.3	gât	gân
!	$_	!	!
	
>der	DDART.Masc.Nom.Sg.*	der	dër
künic	NA.Masc.Nom.Sg.st	küninc	küning
etzel	NE.Nom.Sg	Ètzel	Ètzele
spranc	VVFIN.Ind.Past.Sg.3	spranc	springen
ûf	PTKVZ	ûf	ûf
an	APPR	an	ane
der	DDART.Fem.Dat.Sg.*	der	dër
stat	NA.Fem.Dat.Sg.st	stat	stat
,	$_	,	,
alsô	AVD	alsô	allsô
tâten	VVFIN.Ind.Past.Pl.3	tâten	tuon
alle	DIA.*.Nom.Pl.st	alle	all
sîne	DPOSA.*.Nom.Pl.st	sîne	sîn
man	NA.Masc.Nom.Pl.st	manne	mann
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
künec	NA.Masc.Nom.Sg.st	küninc	küning
lief	VVFIN.Ind.Past.Sg.3	lief	loufen
den	DDART.Masc.Akk.Sg.*	den	dër
bernaere	NA.Masc.Akk.Sg.st	Bernære	Bërnere
an	PTKVZ	an	ane
:	$_	:	:
vil	AVD	vile	vile
lieplîche	AVD	lieplîche	lièblîche
er	PPER.Masc.Nom.Sg.3	er	ër
zuo	APPR	zuo	ze
im	PPER.Masc.Dat.Sg.3	im	ër
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
,	$_	,	,
dô	KOUS	dô	dô
er	PPER.Masc.Nom.Sg.3	er	ër
in	PPER.Masc.Akk.Sg.3	in	ër
dort	AVD	dort	dort
her	AVD	her	hëre
komen	VVINF	komen	komen
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
,	$_	,	,
<vogt	NA.Masc.Nom.Sg.st	voget	<unknown>
von	APPR	von	von
berne	NE.Dat.Sg	Berne	Bërne
,	$_	,	,
nû	AVD	nû	nû
sît	VAFIN.*.Pres.Pl.2	sît	sîn
ir	PPER.*.Nom.Pl.2	ir	ir
gote	NA.Masc.Dat.Sg.st	gote	got
willekomen	ADJD.Pos	willekomen	willekomen
unde	KON	unde	unte
mir	PPER.*.Dat.Sg.1	mir	ich
,	$_	,	,
alsô	AVD	alsô	allsô
sîn	VAFIN.*.Pres.Pl.3	sîn	sîn
alle	DIA.Masc.Nom.Pl.st	alle	all
iuwer	DPOSA.Masc.Nom.Pl.*	iuwer	iuwer
man	NA.Masc.Nom.Pl.st	manne	mann
.	$_	.	.
	
daz	DRELS.Neut.Akk.Sg	daz	dër
ich	PPER.*.Nom.Sg.1	ich	ich
iuch	PPER.*.Akk.Pl.2	iuch	ir
nû	AVD	nû	nû
gesehen	VVPP	gesehen	sëhen
hân	VAFIN.Ind.Pres.Sg.1	hân	haben
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
ze	APPR	ze	ze
vreuden	NA.Fem.Dat.Pl.*	vröuweden	vröuwede
mir	PPER.*.Dat.Sg.1	mir	ich
bekant	VVPP	bekant	bekènnen
und	KON	und	unte
ze	APPR	ze	ze
hôhen	ADJA.Pos.*.Dat.Pl.*	hôhen	hôh
saelden	NA.Fem.Dat.Pl.*	sælden	sælede
gewant.>	NA.Neut.Dat.Sg.st	gewande	gewant
bî	APPR	bî	bî
handen	NA.Fem.Dat.Pl.st	handen	hant
si	PPER.*.Nom.Pl.3	si	ër
sich	PRF.Akk.*.*	sich	sich
viengen	VVFIN.*.Past.Pl.3	viengen	vâhen
,	$_	,	,
ensamt	AVD	ensament	ensament
si	PPER.*.Nom.Pl.3	si	ër
dô	AVD	dô	dô
giengen	VVFIN.*.Past.Pl.3	giengen	gân
sitzen	VVINF	sitzen	sitzen
ûf	APPR	ûf	ûf
daz	DDART.Neut.Akk.Sg.*	daz	dër
gesidele	NA.Neut.Akk.Sg.st	gesidele	gesidele
hin	AVD	hin	hine
.	$_	.	.
	
vrou	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
helche	NE.Nom.Sg	Helche	Helche
diu	DDART.Fem.Nom.Sg.*	diu	dër
künigîn	NA.Fem.Nom.Sg.*	küningîn	küninginne
neic	VVFIN.Ind.Past.Sg.3	neic	nîgen
dem	DDART.Masc.Dat.Sg.*	dem	dër
bernaere	NA.Masc.Dat.Sg.st	Bernære	Bërnere
.	$_	.	.
	
des	DDS.Neut.Gen.Sg.*	des	dër
dancte	VVFIN.*.Past.Sg.3	dankete	danken
ir	PPER.Fem.Dat.Sg.3	ir	ër
der	DDART.Masc.Nom.Sg.*	der	dër
gewaere	ADJA.Pos.Masc.Nom.Sg.wk	gewære	gewære
.	$_	.	.
	
des	DDART.Masc.Gen.Sg.*	des	dër
herren	NA.Masc.Gen.Sg.*	hêrren	hêrre
dietrîches	NE.Gen.Sg	Dieterîches	Dièterîch
man	NA.Masc.Nom.Pl.st	manne	mann
die	DDS.Masc.Nom.Pl.*	die	dër
wurden	VAFIN.*.Past.Pl.3	wurden	wërden
ungegruozet	ADJD.Pos	ungegrüezet	ungegrüèzet
niht	PTKNEG	niht	niht
lân	VVPP	gelân	lâzen
von	APPR	von	von
der	DDART.Fem.Dat.Sg.*	der	dër
werden	ADJA.Pos.Fem.Dat.Sg.wk	werden	wërd
ritterschaft	NA.Fem.Dat.Sg.st	ritterschaft	rîtæreschaft
.	$_	.	.
	
man	PI.*.Nom.Sg.st	man	man
bôt	VVFIN.Ind.Past.Sg.3	bôt	bièten
in	PPER.*.Dat.Pl.3	in	ër
mit	APPR	mit	mit
êren	NA.Fem.Dat.Pl.*	êren	êre
solhe	DDA.Fem.Akk.Sg.st	soliche	solich
craft	NA.Fem.Akk.Sg.st	kraft	kraft
,	$_	,	,
daz	KOUS	daz	dazz
si	PPER.*.Nom.Pl.3	si	ër
ez	PPER.Neut.Akk.Sg.3	ez	ër
heten	VAFIN.*.Past.Pl.3	hæten	haben
wol	AVD	wole	wole
vür	APPR	vür	vüre
guot	NA.Neut.Akk.Sg.st	guot	guot
.	$_	.	.
	
etzel	NE.Nom.Sg	Ètzel	Ètzele
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
hôchgemuot	ADJD.Pos	hôchgemuot	hôhgemuot
durch	APPR	durch	durh
sîne	DPOSA.Masc.Akk.Pl.st	sîne	sîn
lieben	ADJA.Pos.*.Akk.Pl.wk	lieben	lièb
geste	NA.Masc.Akk.Pl.st	geste	gast
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
erbôt	VVFIN.Ind.Past.Sg.3	erbôt	erbièten
daz	DDART.Neut.Akk.Sg.*	daz	dër
beste	ADJA.Sup.Neut.Akk.Sg.wk	bezziste	bèzzist
,	$_	,	,
mit	APPR	mit	mit
vreuden	NA.Fem.Dat.Pl.*	vröuweden	vröuwede
si	PPER.*.Nom.Pl.3	si	ër
sâzen	VVFIN.Ind.Past.Pl.3	sâzen	sitzen
.	$_	.	.
	
dar	PAVD	dâr	dâr
under	PAVAP	under	unter
si	PPER.Masc.Nom.Pl.3	si	ër
niht	PTKNEG	niht	niht
vergâzen	VVFIN.Ind.Past.Pl.3	vergâzen	vergëzzen
,	$_	,	,
etzel	NE.Nom.Sg	Ètzel	Ètzele
vrâgte	VVFIN.*.Past.Sg.3	vrâgete	vrâgen
der	DDART.Masc.Nom.Sg.*	der	dër
maere	ADJA.Pos.Masc.Nom.Sg.wk	mære	mære
den	DDART.Masc.Akk.Sg.*	den	dër
edelen	ADJA.Pos.Masc.Akk.Sg.*	edelen	èdele
bernaere	NA.Masc.Akk.Sg.st	Bernære	Bërnere
.	$_	.	.
	
<	ITJ	âmen	âmen
herre	NA.Masc.Nom.Sg.*	hêrre	hêrre
von	APPR	von	von
berne	NE.Dat.Sg	Berne	Bërne
,	$_	,	,
tuot	VVIMP.Pl.2	tuot	tuon
mir	PPER.*.Dat.Sg.1	mir	ich
kunt	ADJD.Pos	kunt	kund
und	KON	und	unte
lât	VVIMP.Pl.2	lât	lâzen
mich	PPER.*.Akk.Sg.1	mich	ich
hoeren	VVINF	hoeren	hoèren
zestunt	APPR|NA.Fem.Dat.Sg.st	ze|stunt	ze|stunte
,	$_	,	,
wie	AVW	wie	wiè
ez	PPER.Neut.Nom.Sg.3	ez	ër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
ze	APPR	ze	ze
disen	DDA.*.Dat.Pl.*	disen	dise
dingen	NA.Neut.Dat.Pl.st	dingen	ding
komen	VVPP	komen	komen
,	$_	,	,
daz	KOUS	daz	dazz
iu	PPER.*.Dat.Pl.2	iu	ir
sô	AVD	sô	sô
slehtes	AVD	slehtes	slëhtes
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
genomen	VVPP	genomen	nëmen
,	$_	,	,
von	APPR	von	von
ermrîch	NE.Dat.Sg	Èrmrîch	Èrmrîch
iuriu	DPOSA.Neut.Akk.Pl.st	iuweriu	iuwer
lant	NA.Neut.Akk.Pl.st	lant	lant
?	$_	?	?
	
>dô	AVD	<unknown>	dô
sagt	VVFIN.*.Past.Sg.3	sagete	sagen
im	PPER.Masc.Dat.Sg.3	im	ër
her	NA.Masc.Nom.Sg.*	hêrr	hêrre
dietrîch	NE.Nom.Sg	Dieterîch	Dièterîch
zehant	AVD	zehant	zehant
vil	AVD	vile	vile
bescheidenlîche	AVD	bescheidenlîche	beschèidenlîche
,	$_	,	,
wie	AVW	wie	wiè
ungetriuwelîche	AVD	ungetriuwelîche	ungetriuwelîche
ermrîch	NE.Nom.Sg	Èrmrîch	Èrmrîch
mit	APPR	mit	mit
im	PPER.Masc.Dat.Sg.3	im	ër
umbegangen	VVPP	umbegangen	umbegân
was	VAFIN.Ind.Past.Sg.3	was	wësen
.	$_	.	.
	
über	APPR	über	über
al	DIA	al	all
des	DDART.Masc.Gen.Sg.*	des	dër
küneges	NA.Masc.Gen.Sg.st	küninges	küning
palas	NA.Masc,Neut.Akk.Sg.st	palas	palas
mohte	VMFIN.*.Past.Sg.3	mohte	mügen
daz	DDS.Neut.Akk.Sg.*	daz	dër
nieman	DIA.*.Nom.Sg.st	nieman	nièmannd
verlân	VVINF	verlân	verlâzen
,	$_	,	,
sine	PPER.*.Nom.Pl.3|PTKNEG	si|ne	ër|ne
weinten	VVFIN.*.Past.Pl.3	weinten	wèinen
,	$_	,	,
dô	KOUS	dô	dô
der	DDART.Masc.Nom.Sg.*	der	dër
junge	ADJA.Pos.Masc.Nom.Sg.wk	junge	jung
man	NA.Masc.Nom.Sg.st	man	mann
sô	AVD	sô	sô
jaemerlîchen	AVD	jâmerlîchen	jâmerlîche
sagte	VVFIN.*.Past.Sg.3	sagete	sagen
.	$_	.	.
	
vil	AVD	vile	vile
tiure	AVD	tiure	tiure
man	PI.*.Nom.Sg.st	man	man
in	PPER.Masc.Akk.Sg.3	in	ër
clagte	VVFIN.*.Past.Sg.3	klagete	klagen
.	$_	.	.
	
etzel	NE.Nom.Sg	Ètzel	Ètzele
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
ze	APPR	ze	ze
dem	DDART.Masc.Dat.Sg.*	dem	dër
bernaere	NA.Masc.Dat.Sg.st	Bernære	Bërnere
<nû	AVD	<unknown>	nû
lât	VVIMP.Pl.2	lât	lâzen
alle	DIA.Fem.Akk.Sg.st	alle	all
iure	DPOSA.Fem.Akk.Sg.st	iuwere	iuwer
swaere	NA.Fem.Akk.Sg.st	swære	swære
.	$_	.	.
	
sîn	PPER.Neut.Gen.Sg.3	sîn	ër
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
guot	ADJA.Pos	guot	guot
rât	NA.Masc.Nom.Sg.st	rât	rât
werden	VAINF	werden	wërden
.	$_	.	.
	
ûf	APPR	ûf	ûf
aller	DIA.Fem.Dat.Sg.st	aller	all
der	DDART.Fem.Dat.Sg.*	der	dër
erde	NA.Fem.Dat.Sg.st	erde	ërde
,	$_	,	,
die	DRELS.Fem.Akk.Sg	die	dër
ich	PPER.*.Nom.Sg.1	ich	ich
noch	AVD	noch	noh
ze	APPR	ze	ze
gewalte	NA.Fem,Masc.Dat.Sg.st	gewelte	gewalt
hân	VAFIN.Ind.Pres.Sg.1	hân	haben
,	$_	,	,
dar	PAVD	dâr	dâr
zuo	PAVAP	zuo	zuo
mâge	NA.Masc.Akk.Pl.wk	mâge	mage
unde	KON	unde	unte
man	PI.*.Nom.Sg.st	man	man
,	$_	,	,
die	DDS.*.Akk.Pl.*	die	dër
vüert	VVFIN.Ind.Pres.Sg.3	vüert	vüèren
gewalteclîche>	AVD	gewalticlîche	gewaltiglîche
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
er	PPER.Masc.Nom.Sg.3	er	ër
ze	APPR	ze	ze
dietrîche	NE.Dat.Sg	Dieterîche	Dièterîch
<swelhez	DGS.Masc.Gen.Sg.st	sweliches	swèlich
ende	NA.Neut.Akk.Sg.st	ende	ènde
ir	PPER.*.Nom.Pl.2	ir	ir
selbe	DDD.Masc.Nom.Sg.wk	selbe	sëlb
welt	VMFIN.*.Pres.Pl.2	wellt	wèllen
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
hân	VAFIN.Ind.Pres.Sg.1	hân	haben
sô	AVD	sô	sô
manegen	DIA.Masc.Akk.Sg.st	manigen	manig
biderben	ADJA.Pos.Masc.Akk.Sg.*	biderben	bidèrbe
helt	NA.Masc.Akk.Sg.st	helt	hèled
,	$_	,	,
die	DDS.*.Nom.Pl.*	die	dër
wol	AVD	wole	wole
geturren	VMFIN.*.Pres.Pl.3	geturren	geturren
strîten	VVINF	strîten	strîten
:	$_	:	:
die	DDS.*.Akk.Pl.*	die	dër
heize	VVFIN.*.Pres.Sg.1	heize	hèizen
ich	PPER.*.Nom.Sg.1	ich	ich
mit	APPR	mit	mit
iu	PPER.*.Dat.Pl.2	iu	ir
rîten	VVINF	rîten	rîten
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
wâg	VVFIN.Ind.Past.Sg.1	wac	wëgen
allez	DIS.Neut.Akk.Sg.st	allez	all
daz	DRELS.Neut.Akk.Sg	daz	dër
ich	PPER.*.Nom.Sg.1	ich	ich
hiute	AVD	hiute	hiute
hân	VAFIN.Ind.Pres.Sg.1	hân	haben
und	KON	und	unte
swaz	PG.Neut.Akk.Sg.st	swaz	swër
mir	PPER.*.Dat.Sg.1	mir	ich
mîn	DPOSA.Masc.Nom.Sg.*	mîn	mîn
vater	NA.Masc.Nom.Sg.st	vater	vater
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
verlân	VVPP	verlân	verlâzen
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
muoz	VMFIN.Ind.Pres.Sg.3	muoz	müèzen
geligen	VVINF	geligen	geligen
nider	PTKVZ	nider	nidere
od	KON	oder	oder
ir	PPER.*.Nom.Pl.2	ir	ir
gewinnet	VVFIN.*.Pres.Pl.2	gewinnet	gewinnen
roemisch	ADJA.Pos	roemisch	roèmisch
lant	NA.Neut.Akk.Sg.st	lant	lant
wider.>	AVD	wider	widere
ûf	PTKVZ	ûf	ûf
stuont	VVFIN.Ind.Past.Sg.3	stuont	stân
der	DDART.Masc.Nom.Sg.*	der	dër
künec	NA.Masc.Nom.Sg.st	küninc	küning
von	APPR	von	von
roemisch	ADJA.Pos.Neut.Dat.Sg.*	roemisch	roèmisch
lant	NA.Neut.Dat.Sg.st	lande	lant
und	KON	und	unte
neic	VVFIN.Ind.Past.Sg.3	neic	nîgen
etzeln	NE.Dat.Sg	Ètzeln	Ètzele
nider	PTKVZ	nider	nidere
unz	AVD	unz	unze
ûf	APPR	ûf	ûf
die	DDART.Fem.Akk.Sg.*	die	dër
hant	NA.Fem.Akk.Sg.st	hant	hant
.	$_	.	.
	
dâ	PAVD	dâ	dâr
mit	PAVAP	mit	mite
daz	DDART.Neut.Nom.Sg.*	daz	dër
maer	NA.Neut.Nom.Sg.st	mær	mære
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
getân	VVPP	getân	tuon
.	$_	.	.
	
man	PI.*.Nom.Sg.st	man	man
huop	VVFIN.Ind.Past.Sg.3	huop	hèben
die	DDART.Fem.Akk.Sg.*	die	dër
kurzwîle	NA.Fem.Akk.Sg.st	kurzewîle	kurzewîle
an	PTKVZ	an	ane
mit	APPR	mit	mit
tanzen	NA.Fem.Dat.Pl.*	tanzen	tanze
ûf	APPR	ûf	ûf
dem	DDART.Masc,Neut.Dat.Sg.*	dem	dër
palas	NA.Masc,Neut.Dat.Sg.st	palase	palas
.	$_	.	.
	
allez	DIS.Neut.Nom.Sg.st	allez	all
daz	DRELS.Neut.Nom.Sg	daz	dër
dâ	AVD	dâ	dâr
indert	AVD	iener	ièner
was	VAFIN.Ind.Past.Sg.3	was	wësen
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
hete	VAFIN.*.Past.Sg.3	hæte	haben
vreude	NA.Fem.Akk.Sg.st	vröuwede	vröuwede
noch	AVD	noch	noh
hôhen	ADJA.Pos.Masc.Akk.Sg.*	hôhen	hôh
muot	NA.Masc.Akk.Sg.st	muot	muot
,	$_	,	,
als	KO*	als	allsô
man	PI.*.Nom.Sg.st	man	man
ze	APPR	ze	ze
hove	NA.Masc.Dat.Sg.st	hove	hov
gerne	AVD	gerne	gërne
tuot	VVFIN.Ind.Pres.Sg.3	tuot	tuon
,	$_	,	,
ân	PTKVZ	an	ane
der	DDART.Masc.Nom.Sg.*	der	dër
bernaere	NA.Masc.Nom.Sg.st	Bernære	Bërnere
der	DDS.Masc.Nom.Sg.*	der	dër
clagte	VVFIN.*.Past.Sg.3	klagete	klagen
sîne	DPOSA.Fem.Akk.Sg.st	sîne	sîn
swaere	NA.Fem.Akk.Sg.st	swære	swære
und	KON	und	unte
hal	VVFIN.Ind.Past.Sg.3	hal	hëlen
noch	AVD	noch	noh
sînen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
ungemach	NA.Masc.Akk.Sg.st	ungemach	ungemach
.	$_	.	.
	
vrou	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
helche	NE.Nom.Sg	Helche	Helche
daz	DDS.Neut.Akk.Sg.*	daz	dër
allez	DIN.Neut.Akk.Sg.st	allez	all
vil	AVD	vile	vile
wol	AVD	wole	wole
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
und	KON	und	unte
marhte	VVFIN.*.Past.Sg.3	markte	mèrken
daz	DDS.Neut.Akk.Sg.*	daz	dër
vil	AVD	vile	vile
tougen	AVD	tougen	tougen
.	$_	.	.
	
si	PPER.Fem.Nom.Sg.3	si	ër
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
daz	KOUS	daz	dazz
sîniu	DPOSA.Neut.Nom.Pl.st	sîniu	sîn
ougen	NA.Neut.Nom.Pl.wk	ougen	ouge
ofte	AVD	ofte	ofte
unde	KON	unde	unte
dicke	AVD	dicke	dicke
truobten	VVFIN.*.Past.Pl.3	truobten	trüèben
,	$_	,	,
sîniu	DPOSA.Neut.Nom.Pl.st	sîniu	sîn
leit	NA.Neut.Nom.Pl.st	leit	lèid
sich	PRF.Akk.*.*	sich	sich
dicke	AVD	dicke	dicke
uobten	VVFIN.*.Past.Pl.3	vuobten	üèben
mit	APPR	mit	mit
maneger	DIA.Fem.Dat.Sg.st	maniger	manig
ungebaere	NA.Fem.Dat.Sg.st	ungebære	ungebære
,	$_	,	,
mit	APPR	mit	mit
siuften	NA.Masc.Dat.Pl.st	siuften	siuft
und	KON	und	unte
mit	APPR	mit	mit
swaere	NA.Fem.Dat.Sg.st	swære	swære
,	$_	,	,
der	DRELS.*.Gen.Pl	der	dër
er	PPER.Masc.Nom.Sg.3	er	ër
vil	NA.Neut.Akk.Sg.st	vile	vile
in	APPR	in	in
sînem	DPOSA.Neut.Dat.Sg.st	sînem	sîn
herzen	NA.Neut.Dat.Sg.wk	herzen	hërze
truoc	VVFIN.Ind.Past.Sg.3	truoc	tragen
:	$_	:	:
und	KON	und	unte
gehabte	VVFIN.*.Past.Sg.3	gehabete	gehaben
sich	PRF.Akk.*.*	sich	sich
doch	AVD	doch	doh
wol	AVD	wole	wole
genuoc	AVD	genuoc	genuoge
,	$_	,	,
ab	AVD	ab	aber
niwan	AVD	niuwan	niuwan
den	DDART.*.Dat.Pl.*	den	dër
liuten	NA.Masc,Neut.Dat.Pl.st	liuten	liut
ze	APPR	ze	ze
sehen	NA.Neut.Dat.Sg.st	sehen	sëhen
.	$_	.	.
	
vrou	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
helche	NE.Nom.Sg	Helche	Helche
begunde	VVFIN.*.Past.Sg.3	begunde	beginnen
ez	PPER.Neut.Akk.Sg.3	ez	ër
vil	AVD	vile	vile
wol	AVD	wole	wole
spehen	VVINF	spehen	spëhen
und	KON	und	unte
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
sîne	DPOSA.Fem.Akk.Sg.st	sîne	sîn
ofte	AVD	ofte	ofte
heimlîch	AVD	heimelîche	hèimelîche
war	NA.Fem.Akk.Sg.st	war	ware
.	$_	.	.
	
dô	KOUS	dô	dô
diu	DDART.Fem.Nom.Sg.*	diu	dër
kurzwîle	NA.Fem.Nom.Sg.*	kurzewîle	kurzewîle
gar	AVD	gar	gare
genam	VVFIN.Ind.Past.Sg.3	genam	genëmen
ein	DIART.Neut.Akk.Sg.*	ein	èin
ende	NA.Masc,Neut.Akk.Sg.st	ende	ènte
ûf	APPR	ûf	ûf
dem	DDART.Masc.Dat.Sg.*	dem	dër
sal	NA.Masc.Dat.Sg.st	sal	sal
,	$_	,	,
dô	AVD	dô	dô
gie	VVFIN.Ind.Past.Sg.3	gie	gân
her	NA.Masc.Nom.Sg.*	hêrr	hêrre
dietrîch	NE.Nom.Sg	Dieterîch	Dièterîch
ze	APPR	ze	ze
tal	NA.Masc,Neut.Dat.Sg.st	tal	tal
an	APPR	an	ane
einer	DIART.Fem.Dat.Sg.st	einer	èin
stiege	NA.Fem.Dat.Sg.st	stiege	stiège
und	KON	und	unte
hildebrant	NE.Nom.Sg	Hiltebrant	Hiltebrant
,	$_	,	,
hûnolt	NE.Nom.Sg	Hûnolt	Hûnolt
und	KON	und	unte
her	NA.Masc.Nom.Sg.*	hêrr	hêrre
sigebant	NE.Nom.Sg	Sigebant	Sigeband
.	$_	.	.
	
