gedaehte	VVFIN.Subj.Past.Sg.3	gedæhte	gedènken
worden	VAPP	worden	wërden
sigelos	ADJD.Pos	sigelôs	sigelôs
,	$_	,	,
do	KOUS	dô	dô
er	PPER.Masc.Nom.Sg.3	er	ër
die	DDART.Fem.Akk.Sg.*	die	dër
minne	NA.Fem.Akk.Sg.st	minne	minne
vür	APPR	vür	vüre
si	PPER.*.Akk.Pl.3	si	ër
kos	VVFIN.Ind.Past.Sg.3	kôs	kièsen
:	$_	:	:
die	DDART.*.Nom.Pl.*	die	dër
selben	DDA.*.Nom.Pl.wk	selben	sëlb
sigelosen	ADJA.Pos.*.Nom.Pl.wk	sigelôsen	sigelôs
zwo	CARDN.Fem.Nom.Pl.st	zwô	zwêne
die	DDS.*.Nom.Pl.*	die	dër
gesigeten	VVFIN.*.Past.Pl.3	gesigeten	gesigen
an	APPR	an	ane
der	DDART.Fem.Dat.Sg.*	der	dër
minne	NA.Fem.Dat.Sg.st	minne	minne
do	AVD	dô	dô
.	$_	.	.
	
tristan	NE.Nom.Sg	Tristan	Tristan
der	DDS.Masc.Nom.Sg.*	der	dër
sante	VVFIN.*.Past.Sg.3	sante	sènten
boten	NA.Masc.Akk.Pl.wk	boten	bote
zehant	AVD	zehant	zehant
in	APPR	in	in
zwein	CARDA.*.Dat.Pl.st	zwein	zwêne
batelen	NA.Fem.Dat.Pl.*	batelen	batalje
wider	APPR	wider	wider
lant	NA.Neut.Akk.Sg.st	lant	lant
und	KON	und	unte
enbot	VVFIN.Ind.Past.Sg.3	entbôt	entbièten
marke	NE.Dat.Sg	Marke	Marke
maere	NA.Fem,Neut.Akk.Sg.st	mære	mære
,	$_	,	,
wie	AVW	wie	wiè
ez	PPER.Neut.Nom.Sg.3	ez	ër
ergangen	VVPP	ergangen	ergân
waere	VAFIN.Subj.Past.Sg.3	wære	wësen
umbe	APPR	umbe	umbe
die	DDART.Fem.Akk.Sg.*	die	dër
schoenen	ADJA.Pos.Fem.Akk.Sg.wk	schoenen	schoène
von	APPR	von	von
irlant	NE.Dat.Sg	Irlant	Irlant
.	$_	.	.
	
marke	NE.Nom.Sg	Marke	Marke
besande	VVFIN.*.Past.Sg.3	besante	besènten
zehant	AVD	zehant	zehant
,	$_	,	,
swen	PG.Masc.Akk.Sg.st	swen	swër
er	PPER.Masc.Nom.Sg.3	er	ër
besenden	VVINF	besenden	besènten
kunde	VMFIN.*.Past.Sg.3	kunde	kunnen
.	$_	.	.
	
da	AVD	dâ	dâr
randen	VVFIN.*.Past.Pl.3	ranten	rènnen
an	APPR	an	ane
der	DDART.Fem.Dat.Sg.*	der	dër
stunde	NA.Fem.Dat.Sg.st	stunde	stunte
tusent	ADJA.Pos	tûsent	tûsent
boten	NA.Masc.Nom.Pl.wk	boten	bote
nach	APPR	nâch	nâh
ritterschaft	NA.Fem.Dat.Sg.st	ritterschaft	rîtæreschaft
:	$_	:	:
man	PI.*.Nom.Sg.st	man	man
enpfienc	VVFIN.Ind.Past.Sg.3	entvienc	entvâhen
mit	APPR	mit	mit
micheler	ADJA.Pos.Fem.Dat.Sg.st	micheler	michel
craft	NA.Fem.Dat.Sg.st	kraft	kraft
die	DDART.*.Akk.Pl.*	die	dër
kunden	ADJA.Pos.*.Akk.Pl.wk	kunden	kund
und	KON	und	unte
die	DDART.Masc.Akk.Pl.*	die	dër
geste	NA.Masc.Akk.Pl.st	geste	gast
.	$_	.	.
	
daz	DDS.Neut.Nom.Sg.*	daz	dër
ergest	ADJA.Sup.Neut.Nom.Sg.*	ergest	arg
und	KON	und	unte
daz	DDART.Neut.Nom.Sg.*	daz	dër
beste	ADJA.Sup.Neut.Nom.Sg.wk	bezziste	bèzzist
,	$_	,	,
daz	DRELS.Neut.Akk.Sg	daz	dër
marke	NE.Nom.Sg	Marke	Marke
an	APPR	an	ane
disen	DDA.*.Dat.Pl.*	disen	dise
zwein	CARDS.*.Dat.Pl.st	zwein	zwêne
enpfie	VVFIN.Ind.Past.Sg.3	entvie	entvâhen
,	$_	,	,
mit	APPR	mit	mit
den	DRELS.*.Dat.Pl	den	dër
sin	DPOSA	sîn	sîn
leben	NA.Masc,Neut.Nom.Sg.st	leben	lëben
ouch	AVD	ouch	ouch
hine	AVD	hine	hine
gie	VVFIN.Ind.Past.Sg.3	gie	gân
,	$_	,	,
daz	DDART.Neut.Akk.Sg.*	daz	dër
selbe	DDS.Neut.Akk.Sg.wk	selbe	sëlb
enpfienc	VVFIN.Ind.Past.Sg.3	entvienc	entvâhen
er	PPER.Masc.Nom.Sg.3	er	ër
alse	AVD	alse	allsô
wol	AVD	wole	wole
,	$_	,	,
als	KO*	als	allsô
ein	DIART.Masc.Nom.Sg.*	ein	èin
man	NA.Masc.Nom.Sg.st	man	mann
daz	DDS.Neut.Akk.Sg.*	daz	dër
enpfahen	VVINF	entvâhen	entvâhen
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
,	$_	,	,
daz	DRELS.Neut.Nom.Sg	daz	dër
ime	PPER.Masc.Dat.Sg.3	ime	ër
vor	APPR	vore	vore
allen	DIA.*.Dat.Pl.st	allen	all
dingen	NA.Neut.Dat.Pl.st	dingen	ding
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
.	$_	.	.
	
marke	NE.Nom.Sg	Marke	Marke
der	DDS.Masc.Nom.Sg.*	der	dër
hiez	VVFIN.Ind.Past.Sg.3	hiez	hèizen
an	APPR	an	ane
der	DDART.Fem.Dat.Sg.*	der	dër
vrist	NA.Fem.Dat.Sg.st	vrist	vrist
den	DDART.*.Dat.Pl.*	den	dër
lantbarunen	NA.Fem.Dat.Pl.*	lantbarûnen	lantbarûne
allen	DIN.*.Dat.Pl.st	allen	all
sagen	VVINF	sagen	sagen
,	$_	,	,
dazs	AVD	daz	dazz
inner	APPR	inner	inner
ahzehen	CARDA	ahtzehen	ahtzëhen
tagen	NA.Masc.Dat.Pl.st	tagen	tag
alle	DIN.Masc.Akk.Pl.st	alle	all
ze	APPR	ze	ze
hove	NA.Masc.Dat.Sg.st	hove	hov
kaemen	NA.Masc.Akk.Pl.*	kemen	kèmme
,	$_	,	,
als	KO*	als	allsô
si	PPER.*.Nom.Pl.3	si	ër
im	PPER.Masc.Dat.Sg.3	im	ër
wol	AVD	wole	wole
gezaemen	VVFIN.Subj.Past.Pl.3	gezæmen	gezëmen
ze	APPR	ze	ze
siner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
brutleite	NA.Fem.Dat.Sg.st	brûtleite	brûtlèite
.	$_	.	.
	
diz	DDA.Neut.Nom.Sg.*	diz	dise
allez	DIN.Neut.Nom.Sg.st	allez	all
was	VAFIN.Ind.Past.Sg.3	was	wësen
bereite	ADJD.Pos	bereite	berèite
.	$_	.	.
	
si	PPER.*.Nom.Pl.3	si	ër
kamen	VVFIN.Ind.Past.Pl.3	kâmen	komen
riliche	AVD	rîchelîche	rîchelîche
dar	AVD	dar	dâr
:	$_	:	:
dar	AVD	dar	dâr
kam	VVFIN.Ind.Past.Sg.3	kam	komen
manc	DIA.Fem.Nom.Sg.*	manic	manig
wunneclichiu	ADJA.Pos.Fem.Nom.Sg.st	wünniclîchiu	wünniglich
schar	NA.Fem.Nom.Sg.*	schar	schare
von	APPR	von	von
rittern	NA.Masc.Dat.Pl.st	rittern	rîtære
und	KON	und	unte
von	APPR	von	von
vrouwen	NA.Fem.Dat.Pl.*	vrouwen	vrouwe
ir	DPOSA	ire	ire
ougen	NA.Neut.Gen.Pl.wk	ougen	ouge
wunne	NA.Fem.Nom.Sg.*	wünne	wünne
schouwen	VVINF	schouwen	schouwen
,	$_	,	,
die	DDART.*.Nom.Pl.*	die	dër
liehten	ADJA.Pos.*.Nom.Pl.wk	liehten	lièht
isote	NA.Masc.Nom.Pl.*	<unknown>	isôte
.	$_	.	.
	
diu	DDS.Fem.Nom.Sg.*	diu	dër
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
vil	AVD	vile	vile
unde	KON	unde	unte
genote	AVD	genôte	genôte
und	KON	und	unte
ze	APPR	ze	ze
wunder	NA.Neut.Dat.Sg.st	wunder	wunter
an	PTKVZ	an	ane
gesehen	VVPP	gesehen	sëhen
und	KON	und	unte
niwan	AVD	niuwan	niuwan
des	DDART.Masc.Gen.Sg.*	des	dër
einen	CARDS.Masc.Gen.Sg.wk	einen	èin
gejehen	VVPP	gejehen	jëhen
:	$_	:	:
<	FM	-	-
isot	FM	-	-
,	$_	,	,
isot	NE.Nom.Sg	Isôte	Isôte
la	FM	-	-
blunde	FM	-	-
marveil	FM	-	-
de	FM	-	-
tu	FM	-	-
le	FM	-	-
munde	NA.Masc.Dat.Sg.st	munde	mund
:	$_	:	:
isot	NE.Nom.Sg	Isôte	Isôte
diust	DDS.Fem.Nom.Sg.*|VAFIN.Ind.Pres.Sg.3	diu|ist	dër|sîn
besunder	AVD	besunder	besunter
über	APPR	über	über
al	DIA.Fem.Akk.Sg.*	al	all
die	DDART.Fem.Akk.Sg.*	die	dër
werlt	NA.Fem.Akk.Sg.st	werlt	wërelt
ein	DIART.Neut.Nom.Sg.*	ein	èin
wunder	NA.Neut.Nom.Sg.st	wunder	wunter
.	$_	.	.
	
ez	PPER.Neut.Nom.Sg.3	ez	ër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
war	ADJD.Pos	wâr	wâr
,	$_	,	,
daz	DRELS.Neut.Akk.Sg	daz	dër
man	PI.*.Nom.Sg.st	man	man
da	AVD	dâ	dâr
saget	VVFIN.Ind.Pres.Sg.3	saget	sagen
von	APPR	von	von
dirre	DDA.Fem.Dat.Sg.*	dirre	dise
saeligen	ADJA.Pos.Fem.Dat.Sg.wk	sæligen	sælig
maget	NA.Fem.Dat.Sg.st	maget	maged
:	$_	:	:
si	PPER.Fem.Nom.Sg.3	si	ër
git	VVFIN.Ind.Pres.Sg.3	gît	gëben
der	DDART.Fem.Gen.Sg.*	der	dër
werlde	NA.Fem.Gen.Sg.st	werlte	wërelt
wunne	NA.Fem.Akk.Sg.st	wünne	wünne
geliche	AVD	gelîche	gelîche
alsam	KO*	alsam	allsame
diu	DDART.Fem.Nom.Sg.*	diu	dër
sunne	NA.Fem.Nom.Sg.*	sunne	sunne
.	$_	.	.
	
ezn	PPER.Neut.Nom.Sg.3|PTKNEG	ez|ne	ër|ne
gewunnen	VVFIN.*.Past.Pl.3	gewunnen	gewinnen
elliu	DIA.Neut.Nom.Pl.st	alliu	all
riche	NA.Neut.Nom.Pl.st	rîche	rîche
nie	AVD	nie	niè
maget	NA.Fem.Nom.Sg.st	maget	maged
so	AVD	sô	sô
wunnecliche.>	AVD	wünniclîche	wünniglîche
nu	KOUS	nû	nû
si	PPER.Fem.Nom.Sg.3	si	ër
zir	APPR|PPER.Fem.Dat.Sg.3	ze|ir	ze|ër
e	AVD	êr	êr
bestatet	VVPP	bestatet	bestaten
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
und	KON	und	unte
an	APPR	an	ane
ir	DPOSA	ire	ire
rehte	NA.Neut.Dat.Sg.st	rehte	rëht
bewart	VVPP	bewart	bewaren
,	$_	,	,
daz	KOUS	daz	dazz
curnewal	NE.Nom.Sg	Kurnewâl	Kurnewâl
und	KON	und	unte
engelant	NE.Nom.Sg	engellant	Èngellant
so	AVD	sô	sô
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
besetzet	VVPP	besetzet	besètzen
in	APPR	in	in
ir	DPOSA	ire	ire
hant	NA.Fem.Dat.Sg.st	hant	hant
,	$_	,	,
ob	KOUS	ob	obe
si	PPER.*.Nom.Pl.3	si	ër
niht	PTKNEG	niht	niht
erben	VVINF	erben	èrben
baere	VVFIN.Subj.Past.Sg.3	bære	bëren
,	$_	,	,
daz	KOUS	daz	dazz
tristan	NE.Nom.Sg	Tristan	Tristan
erbe	NA.Neut.Nom.Sg.st	erbe	èrbe
waere	VAFIN.Subj.Past.Sg.3	wære	wësen
unde	KON	unde	unte
ir	DPOSA.Fem.Nom.Sg.*	ire	ire
hulde	NA.Fem.Nom.Sg.*	hulde	hulde
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
getan	VVPP	getân	tuon
:	$_	:	:
des	DDART.Masc.Gen.Sg.*	des	dër
nahtes	NA.Masc.Gen.Sg.st	nahtes	naht
do	KOUS	dô	dô
si	PPER.Fem.Nom.Sg.3	si	ër
solte	VMFIN.*.Past.Sg.3	solte	solen
gan	VVINF	gân	gân
slafen	VVINF	slâfen	slâfen
zir	APPR|DPOSA.Masc.Dat.Sg.*	ze|ire	ze|ire
herren	NA.Masc.Dat.Sg.*	hêrren	hêrre
marke	NA.Fem.Dat.Sg.st	marke	marke
,	$_	,	,
nu	AVD	nû	nû
haeten	VAFIN.Subj.Past.Pl.3	hæten	haben
si	PPER.*.Nom.Pl.3	si	ër
sich	PRF.Akk.*.*	sich	sich
starke	ADJD.Pos	starke	stark
si	PPER.Fem.Akk.Sg.3	si	ër
und	KON	und	unte
brangaene	NE.Nom.Sg	Brangæne	Brangæne
und	KON	und	unte
tristan	NE.Nom.Sg	Tristan	Tristan
vor	AVD	vore	vore
hin	AVD	hin	hine
gevlizzen	VVPP	gevlizzen	vlîzen
dar	PAVD	dâr	dâr
an	PAVAP	an	ane
,	$_	,	,
daz	KOUS	daz	dazz
si	PPER.*.Nom.Pl.3	si	ër
ir	DPOSA	ire	ire
state	NA.Fem.Akk.Sg.st	state	state
unde	KON	unde	unte
ir	DPOSA	ire	ire
stat	NA.Fem.Akk.Sg.st	stat	stat
wislichen	AVD	wîslîchen	wîslîche
haeten	VAFIN.*.Past.Pl.3	hæten	haben
besat	VVPP	besatzt	besètzen
und	KON	und	unte
wol	AVD	wole	wole
vor	AVD	vore	vore
hin	AVD	hin	hine
beraten	VVPP	berâten	berâten
.	$_	.	.
	
in	APPR	in	in
markes	NE.Gen.Sg	Markes	Marcus
kemenaten	NA.Fem.Dat.Sg.st	kemenâten	kèmenâte
was	VAFIN.Ind.Past.Sg.3	was	wësen
nieman	DIA.*.Nom.Sg.st	nieman	nièmannd
wan	KOKOM	wan	wan
si	PPER.Neut.Nom.Pl.3	si	ër
vieriu	CARDS.Neut.Akk.Pl.st	vieriu	vièr
,	$_	,	,
der	DDART.Masc.Nom.Sg.*	der	dër
künic	NA.Masc.Nom.Sg.st	küninc	küning
selbe	DDN.Masc.Nom.Sg.wk	selbe	sëlb
und	KON	und	unte
si	PPER.Neut.Nom.Pl.3	si	ër
driu	CARDS.Neut.Nom.Pl.st	driu	drî
.	$_	.	.
	
nu	AVD	nû	nû
was	VAFIN.Ind.Past.Sg.3	was	wësen
ouch	AVD	ouch	ouch
marke	NE.Nom.Sg	Marke	Marke
nider	PTKVZ	nider	nidere
komen	VVPP	komen	komen
.	$_	.	.
	
brangaene	NE.Nom.Sg	Brangæne	Brangæne
haete	VAFIN.*.Past.Sg.3	hæte	haben
an	APPR	an	ane
sich	PRF.Akk.*.*	sich	sich
genomen	VVPP	genomen	nëmen
der	DDART.Fem.Gen.Sg.*	der	dër
küniginne	NA.Fem.Gen.Sg.st	küninginne	küninginne
cleider	NA.Neut.Akk.Pl.st	kleider	klèid
:	$_	:	:
diu	DDART.Neut.Nom.Pl.*	diu	dër
cleider	NA.Neut.Nom.Pl.st	kleider	klèid
ir	PPER.*.Gen.Pl.3	ir	ër
beider	DIS.*.Gen.Pl.st	beider	bèide
waren	VAFIN.Ind.Past.Pl.3	wâren	wësen
verwandelt	VVPP	verwandelt	verwantelen
under	APPR	under	unter
in	PPER.*.Dat.Pl.3	in	ër
.	$_	.	.
	
tristan	NE.Nom.Sg	Tristan	Tristan
vuorte	VVFIN.*.Past.Sg.3	vuorte	vüèren
brangaenen	NE.Akk.Sg	Brangæne	Brangæne
hin	AVD	hin	hine
die	DDART.Fem.Akk.Sg.*	die	dër
marter	NA.Fem.Akk.Sg.st	marter	martere
liden	VVINF	lîden	lîden
und	KON	und	unte
die	DDART.Fem.Akk.Sg.*	die	dër
not	NA.Fem.Akk.Sg.st	nôt	nôt
.	$_	.	.
	
diu	DDART.Neut.Nom.Pl.*	diu	dër
lieht	NA.Neut.Nom.Pl.st	lieht	lièht
diu	DDS.Neut.Akk.Pl.*	diu	dër
laschte	VVFIN.*.Past.Sg.3	laschte	lèschen
ir	DPOSA	ire	ire
vrouwe	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
isot	NE.Nom.Sg	Isôte	Isôte
.	$_	.	.
	
marke	NE.Nom.Sg	Marke	Marke
brangaenen	NE.Akk.Sg	Brangæne	Brangæne
zuozim	APPR|PPER.Masc.Dat.Sg.3	zuoze|im	zuoze|ër
twanc	VVFIN.Ind.Past.Sg.3	twanc	dwingen
.	$_	.	.
	
ine	PPER.*.Nom.Sg.1|PTKNEG	ich|ne	ich|ne
weiz	VVFIN.Ind.Pres.Sg.1	weiz	wizzen
,	$_	,	,
wie	AVW	wie	wiè
ir	PPER.Fem.Dat.Sg.3	ir	ër
der	DDART.Masc.Nom.Sg.*	der	dër
anevanc	NA.Masc.Nom.Sg.st	anevanc	anevang
geviele	VVFIN.Subj.Past.Sg.3	geviele	gevallen
dirre	DDA.Fem.Gen.Sg.*	dirre	dise
sache	NA.Fem.Gen.Sg.st	sache	sache
:	$_	:	:
si	PPER.Fem.Nom.Sg.3	si	ër
dolte	VVFIN.*.Past.Sg.3	dolete	dolen
so	AVD	sô	sô
gemache	AVD	gemache	gemache
,	$_	,	,
daz	KOUS	daz	dazz
ez	PPER.Neut.Nom.Sg.3	ez	ër
gar	AVD	gar	gare
ane	PTKVZ	ane	ane
braht	VVPP	brâht	bringen
beleip	VVFIN.Ind.Past.Sg.3	beleip	belîben
;	$_	;	;
swaz	PG.Neut.Nom.Sg.st	swaz	swër
ir	DPOSA	ire	ire
gespil	NA.Fem,Masc.Nom.Sg.*	gespile	gespile
mit	APPR	mit	mit
ir	PPER.Fem.Dat.Sg.3	ir	ër
getreip	VVFIN.Ind.Past.Sg.3	getreip	getrîben
,	$_	,	,
si	PPER.Fem.Nom.Sg.3	si	ër
leiste	VVFIN.*.Past.Sg.3	leiste	lèisten
unde	KON	unde	unte
werte	VVFIN.*.Past.Sg.3	werte	wèren
,	$_	,	,
swes	PG.Neut.Gen.Sg.st	swes	swër
er	PPER.Masc.Nom.Sg.3	er	ër
hin	AVD	hin	hine
zir	APPR|PPER.Fem.Dat.Sg.3	ze|ir	ze|ër
gegerte	VVFIN.*.Past.Sg.3	gegerte	gegëren
,	$_	,	,
mit	APPR	mit	mit
messing	NA.Masc.Dat.Sg.st	messinge	mèssing
und	KON	und	unte
mit	APPR	mit	mit
golde	NA.Neut.Dat.Sg.st	golde	gold
,	$_	,	,
als	AVD	als	allsô
wol	AVD	wole	wole
alse	KO*	alse	allsô
er	PPER.Masc.Nom.Sg.3	er	ër
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
mich	PRF.Akk.Sg.st	mich	ich
ouch	AVD	ouch	ouch
des	DDS.Neut.Gen.Sg.*	des	dër
wol	AVD	wole	wole
versehen	VVINF	versehen	versëhen
,	$_	,	,
daz	KOUS	daz	dazz
ez	PPER.Neut.Nom.Sg.3	ez	ër
e	AVD	êr	êr
selten	AVD	selten	sëltene
si	VAFIN.Subj.Pres.Sg.3	sî	sîn
geschehen	VVPP	geschehen	geschëhen
,	$_	,	,
daz	KOUS	daz	dazz
ie	AVD	ie	iè
so	AVD	sô	sô
schoene	ADJA.Pos	schoene	schoène
messinc	NA.Masc.Nom.Sg.st	messinc	mèssing
vür	APPR	vür	vüre
guldiniu	ADJA.Pos.Neut.Akk.Pl.st	güldîniu	güldîn
teidinc	NA.Neut.Akk.Pl.st	teidinc	tageding
ze	APPR	ze	ze
bettegelte	NA.Neut.Dat.Sg.st	bettegelte	bèttegëlt
würde	VAFIN.Subj.Past.Sg.3	würde	wërden
gegeben	VVPP	gegeben	gëben
.	$_	.	.
	
deiswar	DDS.Neut.Nom.Sg.*|VAFIN.Ind.Pres.Sg.3|ADJD.Pos	daz|is|wâr	dër|sîn|wâr
ich	PPER.*.Nom.Sg.1	ich	ich
saztes	VVFIN.*.Past.Sg.1|PPER.Neut.Akk.Sg.3	satzte|ez	sètzen|ër
wol	AVD	wole	wole
min	DPOSA	mîn	mîn
leben	NA.Masc,Neut.Akk.Sg.st	leben	lëben
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
sit	KOUS	sît	sîd
adames	NE.Gen.Sg	Adâmes	Adâm
tagen	NA.Masc.Dat.Pl.st	tagen	tag
als	KO*	als	allsô
edel	ADJA.Pos	edel	èdele
valsch	NA.Masc.Nom.Sg.st	valsch	valsch
nie	AVD	nie	niè
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
geslagen	VVPP	geslagen	slahen
noch	KON	noch	noh
nie	AVD	nie	niè
so	AVD	sô	sô
gaebiu	ADJA.Pos.Fem.Nom.Sg.st	gæbiu	gæbe
trügeheit	NA.Fem.Nom.Sg.st	trügeheit	trügenhèit
an	APPR	an	ane
mannes	NA.Masc.Gen.Sg.st	mannes	mann
siten	NA.Fem,Masc.Dat.Pl.*	sîten	site
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
geleit	VVPP	geleit	lègen
.	$_	.	.
	
diewile	KOUS	die_wîle	diè_wîle
ouch	AVD	ouch	ouch
si	PPER.*.Nom.Pl.3	si	ër
zwei	CARDS.Neut.Nom.Pl.st	zwei	zwêne
lagen	VVFIN.Ind.Past.Pl.3	lâgen	ligen
,	$_	,	,
ir	DPOSA.Neut.Gen.Sg.*	ire	ire
bettespiles	NA.Neut.Gen.Sg.st	bettespiles	bèttespil
pflagen	VVFIN.Ind.Past.Pl.3	pflâgen	pflëgen
,	$_	,	,
al	DIA	al	all
die	DDART.Fem.Akk.Sg.*	die	dër
wile	NA.Fem.Akk.Sg.st	wîle	wîle
haete	VAFIN.*.Past.Sg.3	hæte	haben
isot	NE.Nom.Sg	Isôte	Isôte
michel	ADJA.Pos	michel	michel
angest	NA.Fem,Masc.Akk.Sg.st	angest	angest
unde	KON	unde	unte
not	NA.Fem,Masc.Akk.Sg.st	nôt	nôt
;	$_	;	;
si	PPER.Fem.Nom.Sg.3	si	ër
dahte	VVFIN.Ind.Past.Sg.3	dâhte	dènken
allez	AVD	allez	allezz
wider	APPR	wider	wider
sich	PRF.Akk.*.*	sich	sich
:	$_	:	:
<got	NA.Masc.Nom.Sg.st	got	got
herre	NA.Masc.Nom.Sg.*	hêrre	hêrre
,	$_	,	,
nu	AVD	nû	nû
bewar	VVIMP.Sg.2	bewar	bewaren
mich	PPER.*.Akk.Sg.1	mich	ich
und	KON	und	unte
hilf	VVIMP.Sg.2	hilf	hëlfen
mir	PPER.*.Dat.Sg.1	mir	ich
,	$_	,	,
daz	KOUS	daz	dazz
min	DPOSA	mîn	mîn
niftelin	NA.Fem.Nom.Sg.*	niftelen	niftele
wider	APPR	wider	wider
mich	PPER.*.Akk.Sg.1	mich	ich
getriuwe	ADJD.Pos	getriuwe	getriuwe
müeze	VMFIN.Subj.Pres.Sg.3	müeze	müèzen
sin	VAINF	sîn	sîn
!	$_	!	!
	
tribet	VVFIN.Ind.Pres.Sg.3	trîbet	trîben
si	PPER.Fem.Nom.Sg.3	si	ër
diz	DDA.Neut.Akk.Sg.*	diz	dise
bettespil	NA.Neut.Akk.Sg.st	bettespil	bèttespil
iht	AVD	iht	iht
ze	PTKA	ze	ze
lange	AVD	lange	lange
und	KON	und	unte
iht	AVD	iht	iht
ze	PTKA	ze	ze
vil	AVD	vile	vile
,	$_	,	,
ich	PPER.*.Nom.Sg.1	ich	ich
vürhtez	VVFIN.*.Pres.Sg.1|PPER.Neut.Akk.Sg.3	vürhte|ez	vürhten|ër
ir	PPER.Fem.Dat.Sg.3	ir	ër
so	AVD	sô	sô
wol	AVD	wole	wole
behage	VVFIN.*.Pres.Sg.1	behage	behagen
,	$_	,	,
daz	KOUS	daz	dazz
si	PPER.Fem.Nom.Sg.3	si	ër
vil	AVD	vile	vile
lihte	AVD	lîhte	lîhte
da	AVD	dâ	dâr
betage	VVFIN.Subj.Pres.Sg.3	betage	betagen
:	$_	:	:
so	AVD	sô	sô
werde	VAFIN.*.Pres.Pl.1	werden	wërden
wir	PPER.*.Nom.Pl.1	wir	wir
alle	DID.*.Nom.Pl.st	alle	all
ze	APPR	ze	ze
spotte	NA.Masc.Dat.Sg.st	spotte	spott
und	KON	und	unte
ze	APPR	ze	ze
schalle.>	NA.Neut.Dat.Sg.st	schallen	schallen
nein,	$_	<unknown>	<unknown>
ir	DPOSA	ire	ire
gedanke	NA.Masc.Nom.Pl.st	gedanke	gedank
unde	KON	unde	unte
ir	DPOSA	ire	ire
muot	NA.Masc,Neut.Nom.Sg.st	muot	muot
die	DDS.*.Nom.Pl.*	die	dër
waren	VAFIN.Ind.Past.Pl.3	wâren	wësen
luter	ADJD.Pos	lûter	lûter
unde	KON	unde	unte
guot	ADJD.Pos	guot	guot
:	$_	:	:
do	KOUS	dô	dô
si	PPER.Fem.Nom.Sg.3	si	ër
vür	APPR	vür	vüre
isolde	AVD|VMFIN.*.Past.Sg.3	ie|solte	iè|solen
geleiste	VVINF	geleisten	gelèisten
,	$_	,	,
daz	KOUS	daz	dazz
si	PPER.Fem.Nom.Sg.3	si	ër
solde	VMFIN.*.Past.Sg.3	solte	solen
,	$_	,	,
unde	KON	unde	unte
ir	DPOSA	ire	ire
teidinc	NA.Masc,Neut.Akk.Sg.st	teidinc	tageding
ergie	VVFIN.Ind.Past.Sg.3	ergie	ergân
,	$_	,	,
von	APPR	von	von
dem	DDART.Neut.Dat.Sg.*	dem	dër
bette	NA.Neut.Dat.Sg.st	bette	bètte
si	PPER.Fem.Nom.Sg.3	si	ër
sich	PRF.Akk.*.*	sich	sich
lie	VVFIN.Ind.Past.Sg.3	lie	lâzen
.	$_	.	.
	
nu	AVD	nû	nû
was	VAFIN.Ind.Past.Sg.3	was	wësen
ouch	AVD	ouch	ouch
isot	NE.Nom.Sg	Isôte	Isôte
hantgar	NE.Nom.Sg	Hantgar	Hantgar
:	$_	:	:
vür	APPR	vür	vüre
daz	DDART.Neut.Akk.Sg.*	daz	dër
bette	NA.Neut.Akk.Sg.st	bette	bètte
saz	VVFIN.Ind.Past.Sg.3	saz	sitzen
si	PPER.Fem.Nom.Sg.3	si	ër
dar	AVD	dar	dâr
,	$_	,	,
als	KO*	als	allsô
ez	PPER.Neut.Nom.Sg.3	ez	ër
diu	DDART.Fem.Nom.Sg.*	diu	dër
selbe	DDA.Fem.Nom.Sg.wk	selbe	sëlb
solte	VMFIN.*.Past.Sg.3	solte	solen
sin	VAINF	sîn	sîn
.	$_	.	.
	
zehant	AVD	zehant	zehant
iesch	VVFIN.Ind.Past.Sg.3	iesch	èischen
ouch	AVD	ouch	ouch
der	DDART.Masc.Nom.Sg.*	der	dër
künec	NA.Masc.Nom.Sg.st	küninc	küning
den	DDART.Masc.Akk.Sg.*	den	dër
win	NA.Masc.Akk.Sg.st	wîn	wîn
:	$_	:	:
da	PAVD	dâ	dâr
volget	VVFIN.*.Past.Sg.3	volgete	volgen
er	PPER.Masc.Nom.Sg.3	er	ër
dem	DDART.Masc.Dat.Sg.*	dem	dër
site	NA.Masc.Dat.Sg.*	site	site
mite	PTKVZ	mite	mite
,	$_	,	,
wan	KO*	wan	wante
ez	PPER.Neut.Nom.Sg.3	ez	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
in	APPR	in	in
den	DDART.*.Dat.Pl.*	den	dër
ziten	NA.Fem,Neut.Dat.Pl.st	zîten	zît
site	NA.Fem,Masc.Nom.Sg.*	site	site
,	$_	,	,
