ir	PPER.*.Nom.Pl.2	ir	ir
torn	NA.Masc.Nom.Sg.st	turn	turn
was	VAFIN.Ind.Past.Sg.3	was	wësen
gevallen	VVPP	gevallen	vallen
,	$_	,	,
den	DRELS.Masc.Akk.Sg	den	dër
sie	PPER.*.Nom.Pl.3	sie	ër
ê	AVD	êr	êr
dâ	AVD	dâ	dâr
branden	VVFIN.*.Past.Pl.3	branten	brènnen
.	$_	.	.
	
diu	DDART.Fem.Nom.Sg.*	diu	dër
brucke	NA.Fem.Nom.Sg.*	brügge	brügge
was	VAFIN.Ind.Past.Sg.3	was	wësen
bestanden	VVPP	bestanden	bestân
,	$_	,	,
mit	APPR	mit	mit
storme	NA.Masc.Dat.Sg.st	sturme	sturm
giengen	VVFIN.*.Past.Pl.3	giengen	gân
sie	PPER.*.Nom.Pl.3	sie	ër
dar	PAVD	dâr	dâr
zô	PAVAP	zuo	zuo
.	$_	.	.
	
harde	AVD	harte	harte
ervorhten	VVFIN.*.Past.Pl.3	ervorhten	ervürhten
sich	PRF.Akk.*.*	sich	sich
dô	AVD	dô	dô
ascânjûs	NE.Nom.Sg	Ascanius	Ascanius
und	KON	und	unte
sîne	DPOSA.*.Nom.Pl.st	sîne	sîn
man	NA.Masc.Nom.Pl.st	manne	mann
.	$_	.	.
	
grôz	ADJA.Pos.Fem,Masc.Akk.Sg.*	grôz	grôz
angest	NA.Fem,Masc.Akk.Sg.st	angest	angest
her	PPER.Masc.Nom.Sg.3	her	ër
gewan	VVFIN.Ind.Past.Sg.3	gewan	gewinnen
,	$_	,	,
als	KO*	als	allsô
daz	DDS.Neut.Nom.Sg.*	daz	dër
nehein	DIA	nechein	nehèin
wunder	NA.Neut.Nom.Sg.st	wunder	wunter
was	VAFIN.Ind.Past.Sg.3	was	wësen
.	$_	.	.
	
dô	AVD	dô	dô
het	VAFIN.*.Past.Sg.3	hæte	haben
der	DDART.Masc.Nom.Sg.*	der	dër
hêre	ADJA.Pos.Masc.Nom.Sg.wk	hêre	hêre
ênêas	NE.Nom.Sg	Eneas	Eneas
zwêne	CARDA.Masc.Akk.Pl.st	zwêne	zwêne
risen	NA.Masc.Akk.Pl.wk	risen	rise
dâ	AVD	dâ	dâr
gelâzen	VVPP	gelâzen	lâzen
,	$_	,	,
die	DRELS.Masc.Nom.Pl	die	dër
ûf	APPR	ûf	ûf
deme	DDART.Masc.Dat.Sg.*	deme	dër
torne	NA.Masc.Dat.Sg.st	turne	turn
sâzen	VVFIN.Ind.Past.Pl.3	sâzen	sitzen
ûf	APPR	ûf	ûf
dem	DDART.Neut.Dat.Sg.*	dem	dër
oberesten	ADJA.Pos.Neut.Dat.Sg.wk	oberesten	ober
hûs	NA.Neut.Dat.Sg.st	hûse	hûs
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
eine	CARDA.Masc.Nom.Sg.wk	eine	èin
brûder	NA.Masc.Nom.Sg.st	bruoder	bruoder
hiez	VVFIN.Ind.Past.Sg.3	hiez	hèizen
pandarûs	NE.Nom.Sg	Pandarus	Pandarus
und	KON	und	unte
der	DDART.Masc.Nom.Sg.*	der	dër
ander	DIS.Masc.Nom.Sg.*	ander	ander
bitîas	NE.Nom.Sg	Bitias	Bitias
.	$_	.	.
	
dô	KOUS	dô	dô
ez	PPER.Neut.Nom.Sg.3	ez	ër
vil	AVD	vile	vile
nâch	AVD	nâch	nâh
sô	AVD	sô	sô
komen	VVPP	komen	komen
was	VAFIN.Ind.Past.Sg.3	was	wësen
,	$_	,	,
daz	KOUS	daz	dazz
daz	DDART.Neut.Nom.Sg.*	daz	dër
vorborge	NA.Neut.Nom.Sg.st	voreborge	voreborgen
was	VAFIN.Ind.Past.Sg.3	was	wësen
verloren	VVPP	verloren	verlièsen
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
den	DDART.*.Dat.Pl.*	den	dër
risen	NA.Masc.Dat.Pl.wk	risen	rise
vile	AVD	vile	vile
zoren	ADJD.Pos	zorn	zorne
,	$_	,	,
ez	PPER.Neut.Nom.Sg.3	ez	ër
dûht	VVFIN.*.Past.Sg.3	dûhte	dunken
si	PPER.*.Akk.Pl.3	si	ër
michel	ADJA.Pos	michel	michel
schande	NA.Fem.Akk.Sg.st	schande	schante
,	$_	,	,
daz	KOUS	daz	dazz
si	PPER.*.Nom.Pl.3	si	ër
ir	DPOSA	ire	ire
vîande	NA.Masc.Dat.Sg.st	vîande	vîent
in	PPER.*.Dat.Pl.3	in	ër
sô	AVD	sô	sô
nâhen	AVD	nâhen	nâhene
sâgen	VVINF	sagen	sagen
gân	VVFIN.*.Pres.Pl.3	gân	gân
.	$_	.	.
	
ir	DPOSA	ire	ire
halsberge	NA.Masc.Akk.Pl.st	halsberge	halsbërg
heten	VAFIN.*.Past.Pl.3	hæten	haben
si	PPER.*.Nom.Pl.3	si	ër
an	PTKVZ	an	ane
getân	VVPP	getân	tuon
,	$_	,	,
die	DRELS.*.Nom.Pl	die	dër
in	PPER.*.Dat.Pl.3	in	ër
ze	APPR	ze	ze
mâzen	NA.Fem.Dat.Pl.*	mâzen	mâze
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
von	APPR	von	von
gûten	ADJA.Pos.*.Dat.Pl.*	guoten	guot
ringen	NA.Masc.Dat.Pl.st	ringen	ring
swâren	ADJN.*.Dat.Pl.*	swâren	swâr
.	$_	.	.
	
freislîch	ADJD.Pos	vreislich	vrèislich
was	VAFIN.Ind.Past.Sg.3	was	wësen
ir	DPOSA	ire	ire
gemûte	NA.Neut.Nom.Sg.st	gemüete	gemüète
und	KON	und	unte
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
ir	DPOSA	ire	ire
hûte	NA.Fem.Nom.Pl.st	hiute	hût
von	APPR	von	von
stahele	NA.Masc.Dat.Sg.st	stahele	stahel
dicke	AVD	dicke	dicke
geslagen	VVPP	geslagen	slahen
,	$_	,	,
wan	KO*	wan	wante
sis	PPER.*.Nom.Pl.3|PPER.Neut.Gen.Sg.3	si|es	ër|ër
mohten	VMFIN.*.Past.Pl.3	mohten	mügen
wol	AVD	wole	wole
getragen	VVINF	getragen	getragen
,	$_	,	,
daz	DDS.Neut.Akk.Sg.*	daz	dër
liezen	VVFIN.*.Past.Pl.3	liezen	lâzen
sie	PPER.*.Nom.Pl.3	sie	ër
wole	AVD	wole	wole
schîn	VVINF	schînen	schînen
.	$_	.	.
	
ir	DPOSA.Fem.Nom.Pl.*	ire	ire
hosen	NA.Fem.Nom.Pl.st	hosen	hose
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
îsenîn	ADJD.Pos	îsenîn	îsenîn
veste	ADJD.Pos	veste	vèste
lank	ADJD.Pos	lanc	lang
unde	KON	unde	unte
wît	ADJD.Pos	wît	wît
.	$_	.	.
	
si	PPER.*.Nom.Pl.3	si	ër
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
gernde	VVPS	gernte	gëren
in	APPR	in	in
den	DDART.Masc.Akk.Sg.*	den	dër
strît	NA.Masc.Akk.Sg.st	strît	strît
.	$_	.	.
	
balde	AVD	balde	balde
giengen	VVFIN.*.Past.Pl.3	giengen	gân
sie	PPER.*.Nom.Pl.3	sie	ër
her	PAVD	her	hëre
abe	PAVAP	abe	abe
von	APPR	von	von
dem	DDART.Masc.Dat.Sg.*	dem	dër
torn	NA.Masc.Dat.Sg.st	dorne	turn
her	AVD	her	hëre
ûf	APPR	ûf	ûf
den	DDART.Masc.Akk.Sg.*	den	dër
graben	NA.Masc.Akk.Sg.wk	graben	grabe
.	$_	.	.
	
si	PPER.*.Nom.Pl.3	si	ër
bestunden	VVFIN.*.Past.Pl.3	bestuonden	bestân
michel	ADJA.Pos	michel	michel
arbeit	NA.Fem,Neut.Akk.Sg.st	arbeit	arbèit
,	$_	,	,
iedoch	AVD	iedoch	ièdoh
was	VAFIN.Ind.Past.Sg.3	was	wësen
ez	PPER.Neut.Nom.Sg.3	ez	ër
tumbheit	NA.Fem.Nom.Sg.st	tumpheit	tumbhèit
,	$_	,	,
des	DDS.Neut.Gen.Sg.*	des	dër
si	PPER.*.Nom.Pl.3	si	ër
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
berâten	VVPP	berâten	berâten
.	$_	.	.
	
die	DDART.*.Akk.Pl.*	die	dër
porten	NA.Fem.Akk.Pl.st	porten	porte
si	PPER.*.Nom.Pl.3	si	ër
ûf	PTKVZ	ûf	ûf
tâten	VVFIN.Ind.Past.Pl.3	tâten	tuon
,	$_	,	,
die	DDART.*.Akk.Pl.*	die	dër
valbrucken	NA.Masc.Akk.Pl.*	valbrücken	vallbrügge
liezens	VVFIN.*.Past.Pl.3|PPER.Neut.Akk.Sg.3	liezen|ez	lâzen|ër
nider	PTKVZ	nider	nidere
unde	KON	unde	unte
slûgen	VVFIN.*.Past.Pl.3	sluogen	slahen
jene	DDS.*.Nom.Pl.st	jene	jèner
wider	AVD	wider	widere
,	$_	,	,
die	DRELS.*.Nom.Pl	die	dër
dâ	AVD	dâ	dâr
ze	APPR	ze	ze
storme	NA.Masc.Dat.Sg.st	sturme	sturm
giengen	VVFIN.*.Past.Pl.3	giengen	gân
.	$_	.	.
	
grimmechlîchen	AVD	grimmiclîchen	grimmiglîche
sis	PPER.*.Nom.Pl.3|PPER.Neut.Akk.Sg.3	si|ez	ër|ër
enphiengen	VVFIN.*.Past.Pl.3	entviengen	entvâhen
mit	APPR	mit	mit
slegen	NA.Masc.Dat.Pl.st	slegen	slag
vile	AVD	vile	vile
swâren	ADJN.*.Dat.Pl.*	swâren	swâr
,	$_	,	,
wande	KO*	wande	wante
sie	PPER.*.Nom.Pl.3	sie	ër
stark	ADJD.Pos	starc	stark
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
als	KO*	als	allsô
sie	PPER.*.Nom.Pl.3	sie	ër
von	APPR	von	von
rehte	NA.Neut.Dat.Sg.st	rehte	rëht
solden	VMFIN.*.Past.Pl.3	solten	solen
wesen	VAINF	wesen	wësen
.	$_	.	.
	
vor	APPR	vore	vore
in	PPER.*.Dat.Pl.3	in	ër
ne	PTKNEG	ne	ne
mohte	VMFIN.*.Past.Sg.3	mohte	mügen
niht	NA.Neut.Nom.Sg.st	niht	niht
genesen	VVINF	genesen	genësen
,	$_	,	,
si	PPER.*.Nom.Pl.3	si	ër
slûgen	VVFIN.*.Past.Pl.3	sluogen	slahen
daz	KOUS	daz	dazz
in	PPER.*.Dat.Pl.3	in	ër
zû	PTKVZ	zuo	zuo
quam	VVFIN.Ind.Past.Sg.3	quam	komen
,	$_	,	,
want	KO*	want	wante
si	PPER.*.Nom.Pl.3	si	ër
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
in	PPER.*.Dat.Pl.3	in	ër
gram	ADJD.Pos	gram	gram
als	KO*	als	allsô
den	DDART.*.Dat.Pl.*	den	dër
wilden	ADJA.Pos.*.Dat.Pl.*	wilden	wilde
wolven	NA.Masc.Dat.Pl.st	wolven	wolv
.	$_	.	.
	
mit	APPR	mit	mit
îsenînen	ADJA.Pos.*.Dat.Pl.*	îsenînen	îsenîn
kolven	NA.Neut.Dat.Pl.st	kolben	kolb
grôzen	ADJN.*.Dat.Pl.*	grôzen	grôz
,	$_	,	,
die	DRELS.*.Akk.Pl	die	dër
si	PPER.*.Nom.Pl.3	si	ër
trûgen	VVFIN.*.Past.Pl.3	truogen	tragen
,	$_	,	,
des	DDART.Neut.Gen.Sg.*	des	dër
hers	NA.Neut.Gen.Sg.st	hers	hère
si	PPER.*.Nom.Pl.3	si	ër
vil	NA.Neut.Akk.Sg.st	vile	vile
erslûgen	VVFIN.*.Past.Pl.3	ersluogen	erslahen
,	$_	,	,
sô	AVD	sô	sô
daz	KOUS	daz	dazz
ez	PPER.Neut.Nom.Sg.3	ez	ër
unmâze	ADJD.Pos	unmâze	unmâz
was	VAFIN.Ind.Past.Sg.3	was	wësen
,	$_	,	,
pandarûs	NE.Nom.Sg	Pandarus	Pandarus
und	KON	und	unte
bitîas	NE.Nom.Sg	Bitias	Bitias
.	$_	.	.
	
dô	KOUS	dô	dô
daz	DDART.Neut.Nom.Sg.*	daz	dër
turnûs	NE.Nom.Sg	Turnus	Turnus
gesach	VVFIN.Ind.Past.Sg.3	gesach	gesëhen
,	$_	,	,
daz	KOUS	daz	dazz
dâ	AVD	dâ	dâr
vile	NA.Neut.Nom.Sg.st	vile	vile
tôt	ADJD.Pos	tôt	tôt
lach	VVFIN.Ind.Past.Sg.3	lac	ligen
des	DDART.Neut.Gen.Sg.*	des	dër
hers	NA.Neut.Gen.Sg.st	hers	hère
von	APPR	von	von
den	DDART.*.Dat.Pl.*	den	dër
zwein	CARDA.*.Dat.Pl.st	zwein	zwêne
resen	NA.Fem.Dat.Pl.*	reisen	rèise
,	$_	,	,
daz	KOUS	daz	dazz
nieman	DIA.*.Nom.Sg.st	nieman	nièmannd
mohte	VMFIN.*.Past.Sg.3	mohte	mügen
genesen	VVINF	genesen	genësen
,	$_	,	,
den	DRELS.Masc.Akk.Sg	den	dër
si	PPER.*.Nom.Pl.3	si	ër
mohten	VMFIN.*.Past.Pl.3	mohten	mügen
bestrîchen	VVINF	bestrîchen	bestrîchen
,	$_	,	,
si	PPER.*.Nom.Pl.3	si	ër
mûsten	VMFIN.*.Past.Pl.3	muosten	müèzen
alle	DIS.*.Nom.Pl.st	alle	all
entwîchen	VVINF	entwîchen	entwîchen
:	$_	:	:
dô	KOUS	dô	dô
des	DDART.Masc.Gen.Sg.*	des	dër
turnûs	NA.Masc.Gen.Sg.st	turnes	turn
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
gewar	ADJD.Pos	gewar	geware
,	$_	,	,
mit	APPR	mit	mit
tûsent	ADJA.Pos.*.Dat.Pl.*	tûsent	tûsent
rittern	NA.Masc.Dat.Pl.st	rittern	rîtære
kêrder	VVFIN.*.Past.Sg.3|PPER.Masc.Nom.Sg.3	kêrte|er	kêren|ër
dar	AVD	dar	dâr
mit	APPR	mit	mit
zornegem	ADJA.Pos.Masc,Neut.Dat.Sg.st	zornigem	zornig
mûte	NA.Masc,Neut.Dat.Sg.st	muote	muot
.	$_	.	.
	
her	PPER.Masc.Nom.Sg.3	her	ër
sprach<	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
helede	NA.Masc.Akk.Pl.st	helede	hèled
gûte	ADJN.Masc.Akk.Pl.st	guote	guot
,	$_	,	,
nû	AVD	nû	nû
denket	VVIMP.Pl.2	denket	dènken
wol	AVD	wole	wole
zen	APPR|DDART.*.Dat.Pl.*	ze|den	ze|dër
handen	NA.Fem.Dat.Pl.st	handen	hant
,	$_	,	,
daz	KOUS	daz	dazz
wir	PPER.*.Nom.Pl.1	wir	wir
diz	DDA.Neut.Akk.Sg.*	diz	dise
geanden	VVFIN.*.Pres.Pl.1	geanden	geanten
,	$_	,	,
ir	DPOSA.Fem.Akk.Sg.*	ire	ire
tumbheit	NA.Fem.Akk.Sg.st	tumpheit	tumbhèit
in	PTKVZ	în	în
gelônen	VVFIN.*.Pres.Pl.1	gelônen	gelônen
.	$_	.	.
	
nieman	DIA.*.Nom.Sg.st	nieman	nièmannd
sal	VMFIN.Ind.Pres.Sg.3	sal	solen
ir	PPER.Fem.Dat.Sg.3	ir	ër
schônen	VVINF	schônen	schônen
,	$_	,	,
helfet	VVIMP.Pl.2	helfet	hëlfen
daz	KOUS	daz	dazz
wir	PPER.*.Nom.Pl.1	wir	wir
sie	PPER.*.Akk.Pl.3	sie	ër
erslân	VVFIN.*.Pres.Pl.1	erslân	erslahen
und	KON	und	unte
mit	APPR	mit	mit
den	DDART.*.Dat.Pl.*	den	dër
andern	DIS.*.Dat.Pl.st	andern	ander
în	PTKVZ	în	în
gân	VVFIN.*.Pres.Pl.1	gân	gân
,	$_	,	,
sô	AVD	sô	sô
is	VAFIN.Ind.Pres.Sg.3	is	sîn
diu	DDART.Fem.Nom.Sg.*	diu	dër
borch	NA.Fem.Nom.Sg.st	burc	burg
gewunnen.>	VVPS	gewunnen	gewinnen
dô	AVD	dô	dô
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
dâ	AVD	dâ	dâr
begunnen	VVPP	begunnen	beginnen
ein	DIART	ein	èin
sperwehsel	NA.Masc.Nom.Sg.st	sperwehsel	spërwëhsel
vile	AVD	vile	vile
grôz	ADJN	grôz	grôz
.	$_	.	.
	
mit	APPR	mit	mit
ermbrusten	NA.Neut.Dat.Pl.st	ermbrusten	armbrust
man	PI.*.Nom.Sg.st	man	man
dâ	AVD	dâ	dâr
schôz	VVFIN.Ind.Past.Sg.3	schôz	schièzen
und	KON	und	unte
mit	APPR	mit	mit
starken	ADJA.Pos.*.Dat.Pl.*	starken	stark
gêren	NA.Masc.Dat.Pl.*	gêren	gêre
.	$_	.	.
	
si	PPER.*.Nom.Pl.3	si	ër
frometen	VVFIN.*.Past.Pl.3	vrometen	vromen
manegen	DIA.Masc.Akk.Sg.st	manigen	manig
sêren	ADJA.Pos.Masc.Akk.Sg.*	sêren	sêr
dâ	AVD	dâ	dâr
in	APPR	in	in
beiden	DIA.*.Dat.Pl.st	beiden	bèide
sîten	NA.Fem.Dat.Pl.*	sîten	sîte
,	$_	,	,
daz	KOUS	daz	dazz
dâ	AVD	dâ	dâr
in	APPR	in	in
korzen	ADJA.Pos.*.Dat.Pl.*	kurzen	kurz
zîten	NA.Fem,Neut.Dat.Pl.st	zîten	zît
des	DDART.Neut.Gen.Sg.*	des	dër
heres	NA.Neut.Gen.Sg.st	heres	hère
vile	NA.Neut.Nom.Sg.st	vile	vile
tôt	ADJD.Pos	tôt	tôt
lach	VVFIN.Ind.Past.Sg.3	lac	ligen
,	$_	,	,
daz	DRELS.Neut.Akk.Sg	daz	dër
nieman	DIA.*.Nom.Sg.st	nieman	nièmannd
gahten	VVINF	geahten	gahten
ne	PTKNEG	ne	ne
mach	VMFIN.Ind.Pres.Sg.3	mac	mügen
.	$_	.	.
	
diu	DDART.Neut.Nom.Pl.*	diu	dër
swert	NA.Neut.Nom.Pl.st	swert	swërt
dâ	AVD	dâ	dâr
vaste	AVD	vaste	vaste
klungen	VVFIN.*.Past.Pl.3	klungen	klingen
,	$_	,	,
dâ	AVD	dâ	dâr
si	PPER.*.Nom.Pl.3	si	ër
zesamene	AVD	zesamene	zesamene
drungen	VVFIN.*.Past.Pl.3	drungen	dringen
,	$_	,	,
vil	AVD	vile	vile
manech	DIA.Masc.Nom.Sg.*	manic	manig
helm	NA.Masc.Nom.Sg.*	helm	hëlme
dâ	AVD	dâ	dâr
erklank	VVFIN.Ind.Past.Sg.3	erklanc	erklingen
,	$_	,	,
daz	KOUS	daz	dazz
daz	DDART.Neut.Nom.Sg.*	daz	dër
fûre	NA.Neut.Nom.Sg.st	viur	viur
drûz	PAVD|PAVAP	dâr|ûz	dâr|ûz
sprank	VVFIN.Ind.Past.Sg.3	spranc	springen
brinnende	VVPS	brinnente	brinnen
ze	APPR	ze	ze
berge	NA.Masc.Dat.Sg.st	berge	bërg
.	$_	.	.
	
dâ	AVD	dâ	dâr
worden	VAFIN.*.Past.Pl.3	wurden	wërden
halsperge	NA.Masc.Nom.Pl.st	halsberge	halsbërg
mit	APPR	mit	mit
swerden	NA.Fem,Masc.Dat.Pl.*	swerden	swërede
verscrôten	VVPP	verschrôten	verschrôten
,	$_	,	,
dâ	AVD	dâ	dâr
was	VAFIN.Ind.Past.Sg.3	was	wësen
mit	APPR	mit	mit
den	DDART.*.Dat.Pl.*	den	dër
tôten	ADJA.Pos.*.Dat.Pl.*	tôten	tôt
der	DDART.Masc.Nom.Sg.*	der	dër
wech	NA.Masc.Nom.Sg.st	wec	wëg
aller	DIN.Masc.Nom.Sg.st	aller	all
belegen	VVPP	belegen	beligen
.	$_	.	.
	
turnûs	NE.Nom.Sg	Turnus	Turnus
der	DDART.Masc.Nom.Sg.*	der	dër
mâre	ADJA.Pos.Masc.Nom.Sg.wk	mære	mære
degen	NA.Masc.Nom.Sg.st	degen	dëgen
gewan	VVFIN.Ind.Past.Sg.3	gewan	gewinnen
idoch	AVD	iedoch	ièdoh
daz	DDART.Neut.Akk.Sg.*	daz	dër
beste	ADJA.Sup.Neut.Akk.Sg.wk	bezziste	bèzzist
,	$_	,	,
sô	AVD	sô	sô
daz	KOUS	daz	dazz
her	PPER.Masc.Nom.Sg.3	her	ër
sie	PPER.Fem.Akk.Sg.3	sie	ër
ze	PTKA	ze	ze
leste	AVD.Sup	lezzeste	lèzzeste
mit	APPR	mit	mit
gewalt	NA.Fem,Masc.Dat.Sg.st	gewalt	gewalt
in	APPR	in	in
die	DDART.Fem.Akk.Sg.*	die	dër
borch	NA.Fem.Akk.Sg.st	burc	burg
slûch	VVFIN.Ind.Past.Sg.3	sluoc	slahen
.	$_	.	.
	
dô	AVD	dô	dô
bleib	VVFIN.Ind.Past.Sg.3	beleip	belîben
der	DDART.*.Gen.Pl.*	der	dër
troiâre	NA.Masc.Gen.Pl.st	Trôjære	Trôjære
gnûch	ADJA.Pos.Neut.Nom.Sg.*	genuoc	genuoge
dar	PAVD	dâr	dâr
ûze	PAVAP	ûze	ûze
âne	APPR	âne	âne
ir	DPOSA.Masc.Akk.Sg.*	ire	ire
dank	NA.Masc.Akk.Sg.st	danc	dank
.	$_	.	.
	
turnûs	NE.Nom.Sg	Turnus	Turnus
in	APPR	in	in
die	DDART.Fem.Akk.Sg.*	die	dër
borch	NA.Fem.Akk.Sg.st	burc	burg
sprank	VVFIN.Ind.Past.Sg.3	spranc	springen
mit	APPR	mit	mit
funfzich	CARDA.*.Dat.Pl.*	vünvzic	vünvzig
heliden	NA.Masc.Dat.Pl.st	heleden	hèled
snellen	ADJN.*.Dat.Pl.*	snellen	snëll
sîner	DPOSA.*.Gen.Pl.st	sîner	sîn
hergesellen	NA.Masc.Gen.Pl.*	hergesellen	hèregesèlle
.	$_	.	.
	
dô	KOUS	dô	dô
turnûs	NE.Nom.Sg	Turnus	Turnus
in	APPR	in	in
der	DDART.Fem.Dat.Sg.*	der	dër
borch	NA.Fem.Dat.Sg.st	burc	burg
was	VAFIN.Ind.Past.Sg.3	was	wësen
,	$_	,	,
dô	AVD	dô	dô
beslôz	VVFIN.Ind.Past.Sg.3	beslôz	bevlièzen
der	DDART.Masc.Nom.Sg.*	der	dër
rise	NA.Masc.Nom.Sg.wk	rise	rise
bitîas	NE.Nom.Sg	Bitias	Bitias
daz	DDART.Neut.Akk.Sg.*	daz	dër
tor	NA.Neut.Akk.Sg.st	tor	tor
hinder	APPR	hinder	hinter
ime	PPER.Masc.Dat.Sg.3	ime	ër
zô	PTKVZ	zuo	zuo
.	$_	.	.
	
in	APPR	in	in
grôz	ADJA.Pos.Fem,Masc.Akk.Sg.*	grôz	grôz
angest	NA.Fem,Masc.Akk.Sg.st	angest	angest
quam	VVFIN.Ind.Past.Sg.3	quam	komen
her	PPER.Masc.Nom.Sg.3	her	ër
dô	AVD	dô	dô
turnûs	NE.Nom.Sg	Turnus	Turnus
der	DDART.Masc.Nom.Sg.*	der	dër
rîche	ADJA.Pos.Masc.Nom.Sg.wk	rîche	rîche
,	$_	,	,
her	PPER.Masc.Nom.Sg.3	her	ër
wânde	VVFIN.*.Past.Sg.3	wânte	wænen
sicherlîche	AVD	sicherlîche	sicherlîche
,	$_	,	,
daz	KOUS	daz	dazz
im	PPER.Masc.Dat.Sg.3	im	ër
sîne	DPOSA.*.Nom.Pl.st	sîne	sîn
holden	ADJA.Pos.*.Nom.Pl.wk	holden	hold
vaste	AVD	vaste	vaste
volgen	VVINF	volgen	volgen
solden	VMFIN.*.Past.Pl.3	solten	solen
unde	KON	unde	unte
mit	APPR	mit	mit
im	PPER.Masc.Dat.Sg.3	im	ër
în	PTKVZ	în	în
gân	VVINF	gân	gân
.	$_	.	.
	
dô	AVD	dô	dô
was	VAFIN.Ind.Past.Sg.3	was	wësen
diu	DDART.Fem.Nom.Sg.*	diu	dër
porte	NA.Fem.Nom.Sg.*	porte	porte
zû	PTKVZ	zuo	zuo
getân	VVPP	getân	tuon
.	$_	.	.
	
des	DDS.Neut.Gen.Sg.*	des	dër
leit	VVFIN.Ind.Past.Sg.3	leit	lîden
her	PPER.Masc.Nom.Sg.3	her	ër
michel	ADJA.Pos.Fem.Akk.Sg.*	michel	michel
nôt	NA.Fem.Akk.Sg.st	nôt	nôt
,	$_	,	,
die	DDART.*.Nom.Pl.*	die	dër
sîne	DPOSS.*.Nom.Pl.st	sîne	sîn
bliben	VVFIN.*.Past.Pl.3	beliben	belîben
alle	DIN.Masc.Nom.Pl.st	alle	all
tôt	ADJD.Pos	tôt	tôt
,	$_	,	,
die	DRELS.Masc.Nom.Pl	die	dër
mit	APPR	mit	mit
im	PPER.Masc.Dat.Sg.3	im	ër
în	PTKVZ	în	în
drungen	VVFIN.*.Past.Pl.3	drungen	dringen
,	$_	,	,
die	DDART.*.Akk.Pl.*	die	dër
alden	ADJA.Pos.*.Akk.Pl.wk	alten	alt
mit	APPR	mit	mit
den	DDART.*.Dat.Pl.*	den	dër
jungen	ADJA.Pos.*.Dat.Pl.*	jungen	jung
,	$_	,	,
ir	PPER.*.Gen.Pl.3	ir	ër
neheiner	DIS.Masc.Nom.Sg.st	necheiner	nehèin
genas	VVFIN.Ind.Past.Sg.3	genas	genësen
.	$_	.	.
	
selbe	DDD.Masc.Nom.Sg.wk	selbe	sëlb
er	PPER.Masc.Nom.Sg.3	er	ër
nâch	AVD	nâch	nâh
erslagen	VVPP	erslagen	erslahen
was	VAFIN.Ind.Past.Sg.3	was	wësen
turnûs	NE.Nom.Sg	Turnus	Turnus
der	DDART.Masc.Nom.Sg.*	der	dër
mâre	ADJA.Pos.Masc.Nom.Sg.wk	mære	mære
,	$_	,	,
wandaz	KOUS	wan_daz	wan_dazz
die	DDART.Masc.Nom.Pl.*	die	dër
troiâre	NA.Masc.Nom.Pl.st	Trôjære	Trôjære
dar	PAVD	dâr	dâr
ûze	PAVAP	ûze	ûze
wârn	VAFIN.Ind.Past.Pl.3	wârn	wësen
beslozzen	VVPP	beslozzen	beslièzen
,	$_	,	,
ne	PTKNEG	ne	ne
hete	VAFIN.Subj.Past.Sg.3	hæte	haben
er	PPER.Masc.Nom.Sg.3	er	ër
des	DDS.Neut.Gen.Sg.*	des	dër
niht	NA.Neut.Akk.Sg.st	niht	niht
gnozzen	VVPP	genozzen	genièzen
,	$_	,	,
her	PPER.Masc.Nom.Sg.3	her	ër
hete	VAFIN.*.Past.Sg.3	hæte	haben
verloren	VVPP	verloren	verlièsen
sîn	DPOSA.Neut.Akk.Sg.*	sîn	sîn
leben	NA.Neut.Akk.Sg.st	leben	lëben
,	$_	,	,
wandaz	DRELS.Neut.Akk.Sg	daz	dër
im	PPER.Masc.Dat.Sg.3	im	ër
got	NA.Masc.Nom.Sg.st	got	got
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
geben	VVINF	geben	gëben
,	$_	,	,
daz	KOUS	daz	dazz
des	DDS.Neut.Gen.Sg.*	des	dër
gedahte	VVFIN.Ind.Past.Sg.3	gedâhte	gedènken
bitîas	NE.Nom.Sg	Bitias	Bitias
,	$_	,	,
daz	KOUS	daz	dazz
sîn	DPOSA	sîn	sîn
brûder	NA.Masc.Nom.Sg.st	bruoder	bruoder
dûze	ADJD.Pos	diutische	diutisch
was	VAFIN.Ind.Past.Sg.3	was	wësen
mit	APPR	mit	mit
den	DDART.*.Dat.Pl.*	den	dër
anderen	DIS.*.Dat.Pl.st	anderen	ander
beliben	VVPP	beliben	belîben
.	$_	.	.
	
her	PPER.Masc.Nom.Sg.3	her	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
zû	APPR	ze	ze
