swer	PG.Masc.Nom.Sg.st	swer	swër
maniger	DIA.*.Gen.Pl.st	maniger	manig
hande	NA.Fem.Gen.Pl.st	hande	hant
als	KO*	als	allsô
sie	PPER.*.Nom.Pl.3	sie	ër
in	APPR	in	in
dem	DDART.Neut.Dat.Sg.*	dem	dër
lande	NA.Neut.Dat.Sg.st	lande	lant
funden	VVFIN.*.Past.Pl.3	vunden	vinden
die	DDART.*.Akk.Pl.*	die	dër
besten	ADJA.Sup.*.Akk.Pl.wk	bezzisten	bèzzist
und	KON	und	unte
gut	NA.Neut.Akk.Sg.st	guot	guot
westen	VVFIN.*.Past.Pl.3	westen	wizzen
sie	PPER.*.Nom.Pl.3	sie	ër
legeten	VVFIN.*.Past.Pl.3	legeten	lègen
bi	APPR	bî	bî
in	PPER.*.Dat.Pl.3	in	ër
ein	DIART	ein	èin
swert	NA.Neut.Akk.Sg.st	swert	swërt
daz	DDS.Neut.Nom.Sg.*	daz	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
maniger	DIA.Fem.Dat.Sg.st	maniger	manig
marke	NA.Fem.Gen.Sg.st	marke	marke
wert	ADJD.Pos	wert	wërd
waz	PW.Neut.Akk.Sg.st	waz	wër
wolt	VMFIN.*.Past.Sg.3	wolte	wèllen
ir	DPOSA	ire	ire
mere	NA.Neut.Nom.Sg.st	mere	mère
da	AVD	dâ	dâr
was	VAFIN.Ind.Past.Sg.3	was	wësen
grozze	ADJA.Pos.Fem.Nom.Sg.wk	grôze	grôz
ere	NA.Fem.Nom.Sg.*	êre	êre
fruwe	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
und	KON	und	unte
spete	AVD	spæte	spâte
ob	KOUS	ob	obe
er	PPER.Masc.Nom.Sg.3	er	ër
den	DDART.Masc.Akk.Sg.*	den	dër
geist	NA.Masc.Akk.Sg.st	geist	gèist
hete	VAFIN.*.Past.Sg.3	hæte	haben
da	AVD	dâ	dâr
wer	VAFIN.Subj.Past.Sg.3	wær	wësen
ein	DIART	ein	èin
paradise	NA.Neut.Akk.Sg.st	paradîse	paradîse
man	PI.*.Nom.Sg.st	man	man
dorfte	VMFIN.*.Past.Sg.3	dorfte	durfen
da	AVD	dâ	dâr
niht	PTKNEG	niht	niht
der	DDART.Fem.Gen.Sg.*	der	dër
spise	NA.Fem.Gen.Sg.st	spîse	spîse
sulich	DDD.*.*.*.st	solich	solich
was	VAFIN.Ind.Past.Sg.3	was	wësen
der	DDART.*.Gen.Pl.*	der	dër
wurze	NA.Fem.Gen.Pl.st	wurze	wurze
smac	NA.Masc.Nom.Sg.st	smac	smack
daz	DDART.Neut.Nom.Sg.*	daz	dër
gesteine	NA.Neut.Nom.Sg.st	gesteine	gestèine
gap	VVFIN.Ind.Past.Sg.3	gap	gëben
den	DDART.Masc.Akk.Sg.*	den	dër
tac	NA.Masc.Akk.Sg.st	tac	tag
gliche	AVD	gelîche	gelîche
der	DDART.Fem.Dat.Sg.*	der	dër
sunnen	NA.Fem.Dat.Sg.*	sunnen	sunne
fier	CARDA	vier	vièr
kerzen	NA.Fem.Akk.Pl.st	kerzen	kèrze
da	AVD	dâ	dâr
brunnen	VVFIN.*.Past.Pl.3	brunnen	brinnen
zwo	CARDS.Fem.Nom.Pl.st	zwô	zwêne
zu	APPR	zuo	ze
den	DDART.*.Dat.Pl.*	den	dër
fuzzen	NA.Masc.Dat.Pl.st	vuozen	vuoz
so	KO*	sô	sô
wir	PPER.*.Nom.Pl.1	wir	wir
sage	VVINF	sagen	sagen
muzzen	VMFIN.*.Pres.Pl.1	müezen	müèzen
zu	APPR	zuo	ze
dem	DDART.Neut.Dat.Sg.*	dem	dër
houbete	NA.Neut.Dat.Sg.st	houbete	houbet
zwo	CARDS.Fem.Nom.Pl.st	zwô	zwêne
mit	APPR	mit	mit
listen	NA.Fem,Masc.Dat.Pl.st	listen	list
gemachet	VVPP	gemachet	machen
sodiewile	KOUS	sôdie_wîle	sô_diè_wîle
sie	PPER.*.Nom.Pl.3	sie	ër
da	AVD	dâ	dâr
stunden	VVFIN.*.Past.Pl.3	stuonden	stân
vurleschen	VVINF	verleschen	verlëschen
sie	PPER.*.Nom.Pl.3	sie	ër
niht	PTKNEG	niht	niht
enkunden	PTKNEG|VMFIN.*.Past.Pl.3	en|kunden	ne|kunnen
do	AVD	dô	dô
stunt	VVFIN.Ind.Past.Sg.3	stuont	stân
umbe	APPR	umbe	umbe
daz	DDART.Neut.Akk.Sg.*	daz	dër
grap	NA.Neut.Akk.Sg.st	grap	grab
von	APPR	von	von
golde	NA.Neut.Dat.Sg.st	golde	gold
manic	DIA	manic	manig
buchstap	NA.Masc.Nom.Sg.*	buochstap	buochstabe
mit	APPR	mit	mit
kurtzer	ADJA.Pos.Fem.Dat.Sg.st	kurzer	kurz
rede	NA.Fem.Dat.Sg.st	rede	rède
tun	VVFIN.Ind.Pres.Sg.1	tuon	tuon
ich	PPER.*.Nom.Sg.1	ich	ich
kunt	ADJD.Pos	kunt	kund
waz	PW.Neut.Nom.Sg.st	waz	wër
da	AVD	dâ	dâr
gescriben	VVPP	geschriben	schrîben
stunt	VVFIN.Ind.Past.Sg.3	stuont	stân
von	APPR	von	von
troyge	NE.Dat.Sg	Trôje	Trôje
von	APPR	von	von
ylion	NE.Dat.Sg	Ilion	Ilion
des	DDART.Masc.Gen.Sg.*	des	dër
kuniges	NA.Masc.Gen.Sg.st	küninges	küning
priamus	NE.Gen.Sg	Priamus	Priamus
son	NA.Masc.Nom.Sg.st	sun	sun
der	DDART.Masc.Nom.Sg.*	der	dër
starke	ADJA.Pos.Masc.Nom.Sg.wk	starke	stark
hector	NE.Nom.Sg	Hector	Hector
hie	AVD	hier	hièr
lit	VVFIN.Ind.Pres.Sg.3	lît	ligen
ez	PPER.Neut.Nom.Sg.3	ez	ër
enwart	PTKNEG|VAFIN.Ind.Past.Sg.3	en|wart	ne|wërden
bi	APPR	bî	bî
siner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
zit	NA.Fem.Dat.Sg.st	zît	zît
nie	AVD	nie	niè
kuner	ADJA.Pos	küener	küène
man	NA.Masc.Nom.Sg.st	man	mann
geborn	VVPP	geboren	gebëren
des	DDS.Neut.Gen.Sg.*	des	dër
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
er	PPER.Masc.Nom.Sg.3	er	ër
den	DDART.Masc.Akk.Sg.*	den	dër
lip	NA.Masc.Akk.Sg.st	lîp	lîb
verlorn	VVPP	verloren	verlièsen
ouch	AVD-KO*	ouch	ouch
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
von	APPR	von	von
siner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
hant	NA.Fem.Dat.Sg.st	hant	hant
manic	DIA	manic	manig
kunic	NA.Masc.Nom.Sg.st	küninc	küning
von	APPR	von	von
crichenlant	NE.Dat.Sg	Kriechenlant	Krièchenlant
hie	AVD	hier	hièr
zu	APPR	zuo	ze
troyge	NE.Dat.Sg	Trôje	Trôje
tot	ADJD.Pos	tôt	tôt
bliben	VVPP	beliben	belîben
der	DDART.*.Gen.Pl.*	der	dër
namen	NA.Masc.Nom.Pl.*	namen	name
waren	VAFIN.Ind.Past.Pl.3	wâren	wësen
da	AVD	dâ	dâr
gescriben	VVPP	geschriben	schrîben
als	KO*	als	allsô
hector	NE.Nom.Sg	Hector	Hector
was	VAFIN.Ind.Past.Sg.3	was	wësen
bestat	VVPP	bestatet	bestaten
sie	PPER.*.Nom.Pl.3	sie	ër
karten	VVFIN.*.Past.Pl.3	kârten	kêren
wider	AVD	wider	widere
in	APPR	in	in
die	DDART.Fem.Akk.Sg.*	die	dër
stat	NA.Fem.Akk.Sg.st	stat	stat
mit	APPR	mit	mit
ruwen	NA.Fem,Masc.Dat.*.*	riuwen	riuwe
und	KON	und	unte
mit	APPR	mit	mit
swere	NA.Fem.Dat.Sg.st	swære	swære
mit	APPR	mit	mit
sogetanen	ADJA.Pos.*.Dat.Pl.*	sôgetânen	sôgetân
geberen	NA.Fem,Neut.Dat.Pl.st	gebæren	gebære
die	DRELS.*.Nom.Pl	die	dër
dar	PAVD	dâr	dâr
zu	PAVAP	zuo	zuo
gehorten	VVFIN.*.Past.Pl.3	gehôrten	gehoèren
mit	APPR	mit	mit
leidigen	ADJA.Pos.*.Dat.Pl.*	leidigen	lèidig
worten	NA.Neut.Dat.Pl.st	worten	wort
sie	PPER.*.Nom.Pl.3	sie	ër
geswigen	VVFIN.*.Past.Pl.3	geswigen	geswîgen
nie	AVD	nie	niè
in	APPR	in	in
dem	DDART.Masc.Dat.Sg.*	dem	dër
tage	NA.Masc.Dat.Sg.st	tage	tag
sie	PPER.*.Nom.Pl.3	sie	ër
weren	VAFIN.Subj.Past.Pl.3	wæren	wësen
alz	KO*	als	allsô
in	APPR	in	in
der	DDART.Fem.Dat.Sg.*	der	dër
klauge	NA.Fem.Dat.Sg.st	klage	klage
sie	PPER.*.Nom.Pl.3	sie	ër
stalten	VVFIN.*.Past.Pl.3	stalten	stèllen
manic	DIA	manic	manig
wunder	NA.Neut.Akk.Sg.st	wunder	wunter
sament	AVD	sament	sament
und	KON	und	unte
besunder	AVD	besunder	besunter
grozze	ADJA.Pos.Fem.Akk.Sg.st	grôze	grôz
unmazze	NA.Fem.Akk.Sg.st	unmâze	unmâze
an	APPR	an	ane
geschreige	NA.Neut.Dat.Sg.st	geschreie	geschrèie
un	KON	unte	unte
an	APPR	an	ane
gelazze	NA.Masc,Neut.Dat.Sg.st	gelâze	gelâz
noch	AVD	noch	noh
me	AVD.Comp	mêr	mêre
denne	KOUS	denne	danne
da	PAVD	dâ	dâr
vor	PAVAP	vore	vore
in	PPER.*.Dat.Pl.3	in	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
allez	AVD	allez	allezz
hector	NE.Nom.Sg	Hector	Hector
in	APPR	in	in
mute	NA.Masc.Dat.Sg.st	muote	muot
un	KON	unte	unte
in	APPR	in	in
munde	NA.Masc.Dat.Sg.st	munde	mund
sie	PPER.*.Nom.Pl.3	sie	ër
hetten	VAFIN.*.Past.Pl.3	hetten	haben
swere	ADJA.Pos.Fem.Akk.Sg.st	swære	swære
stunde	NA.Fem.Akk.Sg.st	stunde	stunte
under	APPR	under	unter
den	DDART.*.Dat.Pl.*	den	dër
crichen	NA.Masc.Dat.Pl.*	Kriechen	Krièche
under	APPR	under	unter
des	DDS.Neut.Gen.Sg.*	des	dër
claugete	VVFIN.*.Past.Sg.3	klagete	klagen
polidamas	NE.Nom.Sg	Polidamas	Polidamas
daz	KOUS	daz	dazz
agomennon	NE.Nom.Sg	Agomennon	Agomennon
were	VAFIN.Subj.Past.Sg.3	wære	wësen
zu	PTKA	zuo	ze
lange	AVD	lange	lange
ir	DPOSA	ire	ire
richtere	NA.Masc.Nom.Sg.st	rihtære	rihtære
er	PPER.Masc.Nom.Sg.3	er	ër
enhat	PTKNEG|VAFIN.Ind.Pres.Sg.3	en|hât	ne|haben
die	DDART.Fem.Akk.Sg.*	die	dër
manheit	NA.Fem.Akk.Sg.st	manheit	mannhèit
noch	KON	noch	noh
sterke	NA.Fem.Akk.Sg.st	sterke	stèrke
noch	KON	noch	noh
wisheit	NA.Fem.Akk.Sg.st	wîsheit	wîshèit
und	KON	und	unte
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
dar	PAVD	dâr	dâr
zu	PAVAP	zuo	zuo
niht	PTKNEG	niht	niht
geborn	VVPP	geboren	gebëren
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
zu	APPR	zuo	ze
herren	NA.Masc.Dat.Sg.*	hêrren	hêrre
si	VAFIN.Subj.Pres.Sg.3	sî	sîn
erkorn	VVPP	erkoren	erkièsen
uber	APPR	über	über
so	AVD	sô	sô
manigen	DIA.Masc.Akk.Sg.st	manigen	manig
wisen	ADJA.Pos.Masc.Akk.Sg.*	wîsen	wîse
man	NA.Masc.Akk.Sg.st	man	mann
er	PPER.Masc.Nom.Sg.3	er	ër
entar	PTKNEG|VMFIN.Ind.Pres.Sg.3	en|tar	ne|turren
noch	KON	noch	noh
enkan	PTKNEG|VMFIN.Ind.Pres.Sg.3	en|kan	ne|kunnen
noch	KON	noch	noh
enmac	PTKNEG|VMFIN.Ind.Pres.Sg.3	en|mac	ne|mügen
mit	APPR	mit	mit
eren	NA.Fem.Dat.Pl.*	êren	êre
gewisen	VVINF	gewîsen	gewîsen
noch	KON	noch	noh
geleren	VVINF	gelêren	gelêren
eine	DIART.Fem.Akk.Sg.st	eine	èin
so	AVD	sô	sô
kreftige	ADJA.Pos.Fem.Akk.Sg.st	kreftige	krèftig
diet	NA.Fem.Akk.Sg.st	diet	dièt
ich	PPER.*.Nom.Sg.1	ich	ich
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
sin	PPER.Masc.Gen.Sg.3	sîn	ër
zu	APPR	zuo	ze
herren	NA.Masc.Dat.Sg.*	hêrren	hêrre
niet	PTKNEG	niet	niht
sint	KOUS	sint	sint
hector	NE.Nom.Sg	Hector	Hector
tot	ADJD.Pos	tôt	tôt
lit	VVFIN.Ind.Pres.Sg.3	lît	ligen
wersinnet	VVFIN.Ind.Pres.Sg.3	versinnet	versinnen
uch	PRF.Akk.Pl.st	iuch	ir
nu	AVD	nû	nû
des	DDS.Neut.Gen.Sg.*	des	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
zit	NA.Fem,Neut.Nom.Sg.st	zît	zît
diz	DDA.Neut.Nom.Sg.*	diz	dise
lant	NA.Neut.Nom.Sg.st	lant	lant
daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
gwunnen	VVPP	gewunnen	gewinnen
ob	KOUS	ob	obe
wir	PPER.*.Nom.Pl.1	wir	wir
uns	PRF.Akk.Pl.st	uns	wir
kunnen	VMFIN.*.Pres.Pl.1	kunnen	kunnen
darumbe	PAVD|PAVAP	dâr|umbe	dâr|umbe
vereinen	VVINF	vereinen	verèinen
daz	KOUS	daz	dazz
wir	PPER.*.Nom.Pl.1	wir	wir
kiesen	VVFIN.*.Pres.Pl.1	kiesen	kièsen
einen	CARDS.Masc.Akk.Sg.st	einen	èin
der	DRELS.Masc.Nom.Sg	der	dër
uns	PPER.*.Akk.Pl.1	uns	wir
nu	AVD	nû	nû
leite	VVFIN.Subj.Pres.Sg.3	leite	lèiten
und	KON	und	unte
wol	AVD	wole	wole
bereite	VVFIN.Subj.Pres.Sg.3	bereite	berèiten
mit	APPR	mit	mit
witzen	NA.Fem.Dat.Pl.*	witzen	witze
un	KON	unte	unte
mit	APPR	mit	mit
sinnen	NA.Masc.Dat.Pl.st	sinnen	sinn
ich	PPER.*.Nom.Sg.1	ich	ich
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
kere	VVINF	kêren	kêren
hinnen	AVD	hinnen	hinnen
ez	PPER.Neut.Nom.Sg.3	ez	ër
ensi	PTKNEG|VAFIN.Subj.Pres.Sg.3	en|sî	ne|sîn
daz	KOUS	daz	dazz
mir	PPER.*.Dat.Sg.1	mir	ich
werde	VAFIN.Subj.Pres.Sg.3	werde	wërden
ein	DIART	ein	èin
herre	NA.Masc.Nom.Sg.*	hêrre	hêrre
zu	APPR	zuo	ze
guten	ADJA.Pos.Masc.Dat.Sg.st	guoten	guot
verde	NA.Masc.Dat.Sg.st	werde	vërd
den	DRELS.Masc.Akk.Sg	den	dër
die	DDART.Fem.Nom.Sg.*	die	dër
rede	NA.Fem.Nom.Sg.*	rede	rède
ane	PTKVZ	ane	ane
ginc	VVFIN.Ind.Past.Sg.3	gienc	gân
agomennon	NE.Nom.Sg	Agomennon	Agomennon
ez	PPER.Neut.Nom.Sg.3	ez	ër
enphinc	VVFIN.Ind.Past.Sg.3	entvienc	entvâhen
so	AVD	sô	sô
gezogenliche	AVD	gezogenlîche	gezogenlîche
daz	KOUS	daz	dazz
dehein	DIA	dechein	dehèin
sin	PPER.Masc.Gen.Sg.3	sîn	ër
gliche	ADJA.Pos.Masc.Nom.Sg.wk	gelîche	gelîch
daz	DDS.Neut.Akk.Sg.*	daz	dër
daz	DDS.Neut.Akk.Sg.*	daz	dër
enphangen	VVPP	entvangen	entvâhen
hete	VAFIN.*.Past.Sg.3	hæte	haben
er	PPER.Masc.Nom.Sg.3	er	ër
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
veranders	AVD	veranders	veranderes
tete	VVFIN.Subj.Past.Sg.3	tæte	tuon
wen	KOKOM	wen	wan
als	KO*	als	allsô
ir	PPER.*.Nom.Pl.2	ir	ir
gesprochen	VVPP	gesprochen	sprëchen
hat	VAFIN.*.Pres.Pl.2	hât	haben
der	DDS.Masc.Nom.Sg.*	der	dër
enhette	PTKNEG|VAFIN.*.Past.Sg.3	en|hette	ne|haben
es	PPER.Neut.Gen.Sg.3	es	ër
niht	PTKNEG	niht	niht
minen	DPOSA.Masc.Akk.Sg.st	mînen	mîn
rat	NA.Masc.Akk.Sg.st	rât	rât
uwern	DPOSA.Masc.Akk.Sg.st	iuwern	iuwer
rat	NA.Masc.Akk.Sg.st	rât	rât
han	VAFIN.Ind.Pres.Sg.1	hân	haben
ich	PPER.*.Nom.Sg.1	ich	ich
gerne	AVD	gerne	gërne
biz	KOUS	biz	biz
ich	PPER.*.Nom.Sg.1	ich	ich
baz	AVD.Comp	baz	bazz
gelerne	VVFIN.*.Pres.Sg.1	gelerne	gelërnen
so	AVD	sô	sô
rate	VVFIN.*.Pres.Sg.1	râte	râten
ich	PPER.*.Nom.Sg.1	ich	ich
harte	AVD	harte	harte
gerne	AVD	gerne	gërne
baz	AVD.Comp	baz	bazz
ir	PPER.*.Nom.Pl.2	ir	ir
sult	VMFIN.*.Pres.Pl.2	sulet	solen
idoch	AVD	iedoch	ièdoh
wizzen	VVINF	wizzen	wizzen
daz	DDS.Neut.Akk.Sg.*	daz	dër
daz	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
zu	APPR	zuo	ze
richter	NA.Masc.Dat.Sg.st	rihtær	rihtære
was	VAFIN.Ind.Past.Sg.1	was	wësen
genomen	VVPP	genomen	nëmen
daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
von	APPR	von	von
frevel	NA.Fem,Masc.Dat.Sg.*	vrevel	vrèvele
niht	PTKNEG	niht	niht
komen	VVPP	komen	komen
ich	PPER.*.Nom.Sg.1	ich	ich
enhan	PTKNEG|VAFIN.Ind.Pres.Sg.1	en|hân	ne|haben
es	PPER.Neut.Gen.Sg.3	es	ër
gefure	NA.Neut.Akk.Sg.st	gevüere	gevüère
noch	KON	noch	noh
gewin	NA.Masc.Akk.Sg.st	gewin	gewinn
daz	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
richter	NA.Masc.Nom.Sg.st	rihtær	rihtære
bin	VAFIN.Ind.Pres.Sg.1	bin	sîn
des	DDS.Neut.Gen.Sg.*	des	dër
han	VAFIN.Ind.Pres.Sg.1	hân	haben
ich	PPER.*.Nom.Sg.1	ich	ich
michel	ADJA.Pos	michel	michel
erbeit	NA.Fem,Neut.Akk.Sg.st	arbeit	arbèit
daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
mir	PPER.*.Dat.Sg.1	mir	ich
hute	AVD	hiute	hiute
und	KON	und	unte
immer	AVD	iemer	ièmer
leit	ADJD.Pos	leit	lèid
daz	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
dar	PAVD	dâr	dâr
zu	PAVAP	zuo	zuo
erwelt	VVPP	erwelt	erwèlen
wart	VAFIN.Ind.Past.Sg.1	wart	wërden
enwere	PTKNEG|VAFIN.Subj.Past.Sg.1	en|wære	ne|wësen
dise	DDA.Fem.Nom.Sg.*	dise	dise
hervart	NA.Fem.Nom.Sg.st	hervart	hèrevart
durch	APPR	durch	durh
minen	DPOSA.Masc.Akk.Sg.st	mînen	mîn
bruder	NA.Masc.Akk.Sg.st	bruoder	bruoder
niht	PTKNEG	niht	niht
geschen	VVPP	geschên	geschëhen
ir	PPER.*.Nom.Pl.2	ir	ir
soltet	VMFIN.*.Past.Pl.2	soltet	solen
daz	DDS.Neut.Akk.Sg.*	daz	dër
han	VAINF	hân	haben
gesehen	VVPP	gesehen	sëhen
ich	PPER.*.Nom.Sg.1	ich	ich
enhette	PTKNEG|VAFIN.*.Past.Sg.1	en|hette	ne|haben
es	PPER.Neut.Gen.Sg.3	es	ër
mich	PRF.Akk.Sg.st	mich	ich
niht	PTKNEG	niht	niht
underwunden	VVPP	underwunten	unterwinten
hat	VAFIN.*.Pres.Pl.2	hât	haben
ir	PPER.*.Nom.Pl.2	ir	ir
den	DDS.Masc.Akk.Sg.*	den	dër
funden	VVPP	vunden	vinden
der	DRELS.Masc.Nom.Sg	der	dër
dar	PAVD	dâr	dâr
zu	PAVAP	zuo	zuo
gut	ADJD.Pos	guot	guot
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
an	APPR	an	ane
der	DDART.Fem.Dat.Sg.*	der	dër
kunst	NA.Fem.Dat.Sg.st	kunst	kunst
un	KON	unte	unte
an	APPR	an	ane
der	DDART.Fem.Dat.Sg.*	der	dër
list	NA.Fem.Dat.Sg.st	list	list
an	APPR	an	ane
tugende	NA.Fem.Dat.Sg.st	tugende	tugende
un	KON	unte	unte
an	APPR	an	ane
ere	NA.Fem.Akk.Sg.st	êre	êre
den	DDS.Masc.Akk.Sg.*	den	dër
nemet	VVIMP.Pl.2	nemet	nëmen
zu	APPR	zuo	ze
richtere	NA.Masc.Dat.Sg.st	rihtære	rihtære
sehet	VVFIN.*.Pres.Pl.2	sehet	sëhen
wer	PW.Masc.Nom.Sg.st	wer	wër
uch	PPER.*.Dat.Pl.2	iuch	ir
gevalle	VVFIN.Subj.Pres.Sg.3	gevalle	gevallen
dunket	VVFIN.Ind.Pres.Sg.3	dunket	dunken
ez	PPER.Neut.Akk.Sg.3	ez	ër
uch	PPER.*.Akk.Pl.2	iuch	ir
gut	ADJD.Pos	guot	guot
alle	DIS.*.Akk.Pl.st	alle	all
der	DRELS.Masc.Nom.Sg	der	dër
uch	PPER.*.Dat.Pl.2	iuch	ir
disen	DDA.Masc.Akk.Sg.*	disen	dise
rat	NA.Masc.Akk.Sg.st	rât	rât
git	VVFIN.Ind.Pres.Sg.3	gît	gëben
der	DDS.Masc.Nom.Sg.*	der	dër
kan	VMFIN.Ind.Pres.Sg.3	kan	kunnen
harte	AVD	harte	harte
wol	AVD	wole	wole
da	PAVD	dâ	dâr
mit	PAVAP	mit	mite
palimedes	NE.Nom.Sg	Palimedes	Palimedes
der	DDS.Masc.Nom.Sg.*	der	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
wis	ADJD.Pos	wîs	wîse
eine	DIART.Fem.Akk.Sg.st	eine	èin
wis	NA.Fem.Akk.Sg.st	wîs	wîse
unander	DIA	unander	unander
wis	NA.Fem.Akk.Sg.st	wîs	wîse
der	DDS.Masc.Nom.Sg.*	der	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
vil	AVD	vile	vile
gut	ADJD.Pos	guot	guot
dar	PAVD	dâr	dâr
zu	PAVAP	zuo	zuo
ich	PPER.*.Nom.Sg.1	ich	ich
wene	VVFIN.*.Pres.Sg.1	wæne	wænen
erz	PPER.Masc.Nom.Sg.3|PPER.Neut.Akk.Sg.3	er|ez	ër|ër
ouch	AVD-KO*	ouch	ouch
gerne	AVD	gerne	gërne
tu	VVFIN.Subj.Pres.Sg.3	tuo	tuon
dirre	DDA.Fem.Dat.Sg.*	dirre	dise
rat	NA.Masc.Nom.Sg.st	rât	rât
der	DDS.Masc.Nom.Sg.*	der	dër
geschach	VVFIN.Ind.Past.Sg.3	geschach	geschëhen
als	KO*	als	allsô
agomennon	NE.Nom.Sg	Agomennon	Agomennon
vor	PTKVZ	vore	vore
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
palimedes	NE.Nom.Sg	Palimedes	Palimedes
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
erkorn	VVPP	erkoren	erkièsen
daz	DDS.Neut.Nom.Sg.*	daz	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
achilli	NE.Dat.Sg	Achilli	Achilles
vil	AVD	vile	vile
zorn	ADJD.Pos	zorn	zorne
swie	AVG	swie	swiè
zorne	ADJD.Pos	zorne	zorne
ez	PPER.Neut.Nom.Sg.3	ez	ër
ime	PPER.Masc.Dat.Sg.3	ime	ër
were	VAFIN.Subj.Past.Sg.3	wære	wësen
doch	AVD	doch	doh
bleip	VVFIN.Ind.Past.Sg.3	beleip	belîben
er	PPER.Masc.Nom.Sg.3	er	ër
richtere	NA.Masc.Nom.Sg.st	rihtære	rihtære
palimedes	NE.Nom.Sg	Palimedes	Palimedes
sich	PRF.Akk.*.*	sich	sich
zuhan	AVD	zuohant	zehant
sines	DPOSA.Neut.Gen.Sg.st	sînes	sîn
gerichtes	NA.Neut.Gen.Sg.st	gerihtes	gerihte
underwant	VVFIN.Ind.Past.Sg.3	underwant	unterwinten
do	AVD	dô	dô
was	VAFIN.Ind.Past.Sg.3	was	wësen
der	DDART.Masc.Nom.Sg.*	der	dër
fride	NA.Masc.Nom.Sg.*	vride	vride
ouch	AVD	ouch	ouch
uz	PTKVZ	ûz	ûz
gegan	VVPP	gegân	gân
der	DRELS.Masc.Nom.Sg	der	dër
zu	APPR	zuo	ze
einem	DIART.Masc.Dat.Sg.st	einem	èin
mande	NA.Masc.Dat.Sg.*	mânde	mânde
was	VAFIN.Ind.Past.Sg.3	was	wësen
getan	VVPP	getân	tuon
priamus	NE.Nom.Sg	Priamus	Priamus
in	APPR	in	in
der	DDART.Fem.Dat.Sg.*	der	dër
stat	NA.Fem.Dat.Sg.st	stat	stat
sine	DPOSA.Fem.Akk.Sg.st	sîne	sîn
ritterschaft	NA.Fem.Akk.Sg.st	ritterschaft	rîtæreschaft
bat	VVFIN.Ind.Past.Sg.3	bat	biten
mit	APPR	mit	mit
grozzer	ADJA.Pos.Fem.Dat.Sg.st	grôzer	grôz
flehe	NA.Fem.Dat.Sg.st	vlêhe	vlêhe
daz	KOUS	daz	dazz
ir	PPER.*.Gen.Pl.3	ir	ër
igelich	DIS.Masc.Nom.Sg.*	iegelich	iègelich
sehe	VVFIN.Subj.Past.Sg.3	sæhe	sëhen
wie	AVW	wie	wiè
wol	AVD	wole	wole
er	PPER.Masc.Nom.Sg.3	er	ër
were	VAFIN.Subj.Past.Sg.3	wære	wësen
gereit	ADJD.Pos	gereit	gerèite
zu	APPR	zuo	ze
rechene	NA.Neut.Dat.Sg.st	rechene	rëchen
sines	DPOSA.Masc.Gen.Sg.st	sînes	sîn
sunes	NA.Masc.Gen.Sg.st	sunes	sun
leit	NA.Neut.Akk.Sg.st	leit	lèid
ich	PPER.*.Nom.Sg.1	ich	ich
bit	VVFIN.*.Pres.Sg.1	bite	biten
es	PPER.Neut.Gen.Sg.3	es	ër
uch	PPER.*.Akk.Pl.2	iuch	ir
immer	AVD	iemer	ièmer
mere	AVD.Comp	mêre	mêre
durch	APPR	durch	durh
truwe	NA.Fem.Akk.Sg.st	triuwe	triuwe
un	KON	unte	unte
durch	APPR	durch	durh
ere	NA.Fem.Akk.Sg.st	êre	êre
un	KON	unte	unte
durch	APPR	durch	durh
minen	DPOSA.Masc.Akk.Sg.st	mînen	mîn
willen	NA.Masc.Akk.Sg.*	willen	wille
swer	PG.Masc.Nom.Sg.st	swer	swër
mir	PPER.*.Dat.Sg.1	mir	ich
achillen	NE.Akk.Sg	Achillen	Achilles
von	APPR	von	von
dem	DDART.Masc.Dat.Sg.*	dem	dër
