o	ITJ	ô	ô
und	KON	und	unte
vil	AVD	vile	vile
gehewre	ADJA.Pos.Masc.Nom.Sg.wk	gehiure	gehiure
schätzt	VVFIN.*.Past.Sg.3	schatzte	schützen
im	PPER.Masc.Dat.Sg.3	im	ër
zu	APPR	zuo	ze
ungeluck	NA.Neut.Dat.Sg.st	ungelücke	ungelücke
diss	DDA.Fem.Akk.Sg.*	dise	dise
frembde	ADJA.Pos.Fem.Akk.Sg.st	vremede	vrèmede
abentewre	NA.Fem.Akk.Sg.st	âbentiure	âventiure
.	$_	.	.
	
zu	APPR	zuo	ze
jenem	DDA.Masc.Dat.Sg.st	jenem	jèner
ritter	NA.Masc.Dat.Sg.st	ritter	rîtære
widerumb	ADJN.Masc.Dat.Sg.*	widerump	wîderumb
zu	APPR	zuo	ze
rugk	NA.Masc.Dat.Sg.st	rügge	<unknown>
rait	VVFIN.Ind.Past.Sg.3	reit	rîten
er	PPER.Masc.Nom.Sg.3	er	ër
und	KON	und	unte
jach:<	VVFIN.Ind.Past.Sg.3	jach	jëhen
meinr	DPOSA.Fem.Dat.Sg.st	mîner	mîn
frawen	NA.Fem.Dat.Sg.st	vrouwen	vrouwe
solt	VMFIN.*.Pres.Pl.2	solet	solen
ir	PPER.Fem.Dat.Sg.3	ir	ër
sagen	VVINF	sagen	sagen
mein	DPOSA	mîn	mîn
dinst	NA.Masc,Neut.Akk.Sg.st	dienest	diènest
mit	APPR	mit	mit
ganzen	ADJA.Pos.*.Dat.Pl.*	ganzen	ganz
trewen	NA.Fem.Dat.Pl.*	triuwen	triuwe
und	KON	und	unte
das	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
nach	APPR	nâch	nâh
euch	PPER.*.Dat.Pl.2	iuch	ir
kumm	VVFIN.*.Pres.Sg.1	kume	komen
in	APPR	in	in
kurzen	ADJA.Pos.*.Dat.Pl.*	kurzen	kurz
tagen	NA.Masc.Dat.Pl.st	tagen	tag
.	$_	.	.
	
die	DDART.*.Akk.Pl.*	die	dër
awentewer	NA.Fem.Akk.Sg.st	âventiure	âventiure
ennden	VVINF	enden	ènten
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
ich	PPER.*.Nom.Sg.1	ich	ich
,	$_	,	,
wie	AVW	wie	wiè
es	PPER.Neut.Nom.Sg.3	ez	ër
drumb	PAVD|PAVAP	dâr|umbe	dâr|umbe
stat	VVFIN.Ind.Pres.Sg.3	stât	stân
,	$_	,	,
das	DDS.Neut.Nom.Sg.*	daz	dër
mag	VMFIN.Ind.Pres.Sg.3	mac	mügen
mich	PPER.*.Akk.Sg.1	mich	ich
niembt	PTKNEG	<unknown>	niht
erwenden	VVINF	erwenden	erwènten
,	$_	,	,
das	KOUS	daz	dazz
mich	PPER.*.Akk.Sg.1	mich	ich
der	DDART.Masc.Nom.Sg.*	der	dër
ritter	NA.Masc.Nom.Sg.st	ritter	rîtære
so	AVD	sô	sô
betrogen	VVPP	betrogen	betriègen
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
.	$_	.	.
	
die	DDART.Fem.Nom.Sg.*	die	dër
awentewr	NA.Fem.Nom.Sg.*	<unknown>	âventiure
von	APPR	von	von
mir	PPER.*.Dat.Sg.1	mir	ich
noch	AVD	noch	noh
wirt	VAFIN.Ind.Pres.Sg.3	wirdet	wërden
gesuechet	VVPP	gesuochet	suochen
,	$_	,	,
ich	PPER.*.Nom.Sg.1	ich	ich
setz	VVFIN.*.Pres.Sg.1	setze	sètzen
zu	APPR	zuo	ze
puess	NA.Fem.Dat.Sg.st	buoze	<unknown>
im	PPER.Masc.Dat.Sg.3	im	ër
der	DDART.Fem.Gen.Sg.*	der	dër
geschicht	NA.Fem.Gen.Sg.st	geschiht	geschiht
oder	KON	oder	oder
mein	DPOSA	mîn	mîn
höchster	ADJA.Pos.Masc.Nom.Sg.st	hôhester	hôh
preys	NA.Masc.Nom.Sg.st	prîs	prîs
der	DRELS.Masc.Nom.Sg	der	dër
sey	VAFIN.Subj.Pres.Sg.3	sî	sîn
verfluechet.>	VVFIN.*.Past.Sg.3	vervluochete	vervluochen
sunstritens	NA.Neut.Gen.Sg.st	sunstrîtenes	sunstrîten
von	APPR	von	von
einannder	DIA	einander	èinander
.	$_	.	.
	
lannzilet	NE.Nom.Sg	<unknown>	<unknown>
rait	VVFIN.Ind.Past.Sg.3	reit	rîten
zu	APPR	zuo	ze
walld	NA.Masc.Dat.Sg.st	walde	wald
;	$_	;	;
ain	DIART	ein	èin
ritter	NA.Masc.Nom.Sg.st	ritter	rîtære
darinn	PAVD|PAVAP	dâr|inne	dâr|inne
vand	VVFIN.Ind.Past.Sg.3	vant	vinden
er	PPER.Masc.Nom.Sg.3	er	ër
,	$_	,	,
der	DDS.Masc.Nom.Sg.*	der	dër
fragt	VVFIN.*.Past.Sg.3	vrâgete	vrâgen
von	APPR	von	von
seiner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
rais	NA.Fem.Dat.Sg.st	reise	rèise
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
ellens	NA.Neut.Gen.Sg.st	ellenes	èllent
pald	AVD	balde	balde
sprach:<	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
herr	NA.Masc.Nom.Sg.*	hêrr	hêrre
,	$_	,	,
ich	PPER.*.Nom.Sg.1	ich	ich
ger	VVFIN.*.Pres.Sg.1	ger	gëren
ain	DIART	ein	èin
abentewr	NA.Fem.Akk.Sg.st	<unknown>	âventiure
zu	APPR	zuo	ze
holen	NA.Neut.Dat.Sg.wk	holenne	holen
:	$_	:	:
ain	DIART	ein	èin
magt	NA.Fem.Akk.Sg.st	maget	maged
ich	PPER.*.Nom.Sg.1	ich	ich
vand	VVFIN.Ind.Past.Sg.1	vant	vinden
under	APPR	under	unter
ainem	DIART.Neut.Dat.Sg.st	einem	èin
zelld	NA.Neut.Dat.Sg.st	<unknown>	<unknown>
,	$_	,	,
die	DDS.Fem.Akk.Sg.*	die	dër
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
ain	DIART	ein	èin
ritter	NA.Masc.Nom.Sg.st	ritter	rîtære
mir	PPER.*.Dat.Sg.1	mir	ich
newes	AVD	niuwenes	niuwes
daraus	NE.Nom.Sg	Daraus	Daraus
verstolen.>	NA.Neut.Gen.Sg.st	verstolenes	verstolen
do	AVD	dô	dô
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
der	DDART.Masc.Nom.Sg.*	der	dër
vil	AVD	vile	vile
gehewre	ADJA.Pos.Masc.Nom.Sg.wk	gehiure	gehiure
:	$_	:	:
<	PPER.Neut.Nom.Sg.3	ez	ër
kumbt	VVFIN.Ind.Pres.Sg.3	kumet	komen
dann	AVD	danne	danne
,	$_	,	,
ich	PPER.*.Nom.Sg.1	ich	ich
weis	VVFIN.Ind.Pres.Sg.1	weiz	wizzen
euch	PPER.*.Akk.Pl.2	iuch	ir
schier	AVD	schier	schière
ain	DIART.Fem.Akk.Sg.*	ein	èin
frembde	ADJA.Pos.Fem.Akk.Sg.st	vremede	vrèmede
awentewre	NA.Fem.Akk.Sg.st	âventiure	âventiure
.	$_	.	.
	
ob	KOUS	ob	obe
ir	PPER.*.Nom.Pl.2	ir	ir
durch	APPR	durch	durh
ritters	NA.Masc.Gen.Sg.st	ritters	rîtære
preys	NA.Masc.Akk.Sg.st	prîs	prîs
wolt	VMFIN.*.Pres.Pl.2	wollet	wèllen
helfen	VVINF	helfen	hëlfen
mir	PPER.*.Dat.Sg.1	mir	ich
,	$_	,	,
ich	PPER.*.Nom.Sg.1	ich	ich
liess	VVFIN.Subj.Past.Sg.1	lieze	lâzen
euch	PPER.*.Dat.Pl.2	iuch	ir
ain	DIART	ein	èin
vil	AVD	vile	vile
clare	ADJA.Pos.Fem.Akk.Sg.st	klâre	klâr
heynat	NA.Fem.Akk.Sg.st	heimât	hèimuote
schawen	VVINF	schouwen	schouwen
.	$_	.	.
	
zwen	CARDA.Masc.Akk.Pl.st	zwêne	zwêne
ritter	NA.Masc.Nom.Pl.st	ritter	rîtære
füerens	VVFIN.Ind.Past.Pl.3|PPER.Neut.Gen.Sg.3	vuoren|es	varen|ër
aus	APPR	ûz	ûz
aim	CARDA.Masc.Dat.Sg.st	einem	èin
lack	NA.Masc.Dat.Sg.st	lacke	lack
,	$_	,	,
wer	PW.Masc.Nom.Sg.st	wer	wër
sy	PPER.Masc.Akk.Pl.3	si	ër
gewindt	VVFIN.Ind.Pres.Sg.3	gewinnet	gewinnen
,	$_	,	,
der	DDS.Masc.Nom.Sg.*	der	dër
mues	VMFIN.*.Past.Sg.3	muose	müèzen
vor	APPR	vore	vore
hellme	NA.Masc.Dat.Sg.*	helme	hëlme
hawen	VVINF	houwen	houwen
.	$_	.	.
	
die	DDART.Fem.Nom.Sg.*	die	dër
keusche	NA.Fem.Nom.Sg.*	kiusche	kiusche
ligt	VVFIN.Ind.Pres.Sg.3	liget	ligen
gefangen	VVPP	gevangen	vâhen
in	APPR	in	in
ainer	DIART.Fem.Dat.Sg.st	einer	èin
poyen	NA.Fem.Dat.Sg.st	boijen	poie
starken	ADJA.Pos.Fem.Dat.Sg.wk	starken	stark
,	$_	,	,
des	DDS.Neut.Gen.Sg.*	des	dër
mich	PPER.*.Akk.Sg.1	mich	ich
ser	AVD	sêr	sêre
tuet	VVFIN.Ind.Pres.Sg.3	tuot	tuon
verlanngen	VVPP	verlangen	verlèngen
.	$_	.	.
	
zu	APPR	zuo	ze
abent	NA.Masc.Dat.Sg.st	âbende	âbend
her	PAVD	her	hëre
an	PAVAP	an	ane
lanndt	VVFIN.Ind.Past.Sg.3	<unknown>	<unknown>
in	APPR	in	in
ainer	DIART.Fem.Dat.Sg.st	einer	èin
barken	NA.Fem.Dat.Sg.st	barken	barke
füeren	VVFIN.*.Pres.Pl.3	vüeren	vüèren
sy	PPER.*.Nom.Pl.3	si	ër
die	DDART.Fem.Akk.Sg.*	die	dër
vil	AVD	vile	vile
rainen	ADJA.Pos.*.Nom.Pl.wk	reinen	rèine
mynigkleichen	AVD	minniclîchen	minniglîche
.	$_	.	.
	
ob	KOUS	ob	obe
ir	PPER.*.Nom.Pl.2	ir	ir
den	DDART.Masc.Akk.Sg.*	den	dër
ainen	CARDS.Masc.Akk.Sg.st	einen	èin
wolt	VMFIN.*.Pres.Pl.2	wollet	wèllen
bestan	VVINF	bestân	bestân
,	$_	,	,
dem	DDART.Masc.Dat.Sg.*	dem	dër
andern	DIA.Masc.Dat.Sg.wk	andern	ander
kampfes	NA.Masc.Gen.Sg.st	kampfes	kampf
wolt	VMFIN.*.Past.Sg.1	wolte	wèllen
ich	PPER.*.Nom.Sg.1	ich	ich
nicht	PTKNEG	niht	niht
entweichen	VVINF	entwîchen	entwîchen
.	$_	.	.
	
all	AVD	al	al
durch	APPR	durch	durh
ewr	PPER.*.Gen.Pl.2	iuwer	ir
selbers	DDD.Masc.Gen.Sg.st	selbers	sëlb
ere	NA.Fem.Akk.Sg.st	êre	êre
globt	VVIMP.Pl.2	gelobet	geloben
mir	PPER.*.Dat.Sg.1	mir	ich
des	DDS.Neut.Gen.Sg.*	des	dër
mit	APPR	mit	mit
vianz,	$_	<unknown>	<unknown>
das	KOUS	daz	dazz
ir	PPER.*.Nom.Pl.2	ir	ir
die	DDART.Fem.Akk.Sg.*	die	dër
keusch	NA.Fem.Akk.Sg.st	kiusche	kiusche
und	KON	und	unte
here	AVD	here	hëre
mir	PPER.*.Dat.Sg.1	mir	ich
lasst	VVFIN.*.Pres.Sg.2	lâst	lâzen
füran	VVINF	vüeren	vüèren
mit	APPR	mit	mit
stäten	ADJA.Pos.*.Dat.Pl.*	stanten	stæte
trewen	NA.Fem.Dat.Pl.*	triuwen	triuwe
gannz!	$_	<unknown>	<unknown>
	
glob	VVFIN.Ind.Pres.Sg.1	geloube	gelouben
ich	PPER.*.Nom.Sg.1	ich	ich
euch	PPER.*.Dat.Pl.2	iuch	ir
,	$_	,	,
das	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
euch	PPER.*.Akk.Pl.2	iuch	ir
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
weysen	VVINF	weisen	wèisen
moren	NA.Masc.Akk.Pl.*	môren	môre
,	$_	,	,
das	KOUS	daz	dazz
ir	PPER.*.Nom.Pl.2	ir	ir
sehet	VVFIN.*.Pres.Pl.2	sehet	sëhen
ritter	NA.Masc.Akk.Pl.st	ritter	rîtære
und	KON	und	unte
magt	NA.Fem.Akk.Sg.st	maget	maged
,	$_	,	,
ie	AVD	ie	iè
ir	PPER.*.Nom.Pl.2	ir	ir
in	APPR	in	in
ienem	DDA.Masc.Dat.Sg.st	jenem	jèner
zelld	VVFIN.*.Pres.Pl.2	<unknown>	<unknown>
dort	AVD	dort	dort
habt	VAFIN.*.Pres.Pl.2	habet	haben
verloren.>	VVPP	verloren	verlièsen
<mein	DPOSA	unser	mîn
dinst	NA.Masc,Neut.Akk.Sg.st	dienest	diènest
euch	PPER.*.Dat.Pl.2	iuch	ir
sey	VAFIN.Subj.Pres.Sg.3	sî	sîn
gesellet	VVPP	gesellet	gesèllen
,	$_	,	,
ob	KOUS	ob	obe
das	DDS.Neut.Nom.Sg.*	daz	dër
et	AVD	et	ëht
mag	VMFIN.Ind.Pres.Sg.3	mac	mügen
beschehen	VVINF	beschehen	beschëhen
;	$_	;	;
und	KON	und	unte
füert	VVIMP.Pl.2	vüert	vüèren
mich	PPER.*.Akk.Sg.1	mich	ich
,	$_	,	,
war	AVW	war	ware
ir	PPER.*.Nom.Pl.2	ir	ir
wellet	VMFIN.*.Pres.Pl.2	wellet	wèllen
,	$_	,	,
das	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
nur	AVD	niur	niur
müg	VMFIN.Ind.Pres.Sg.1	müge	mügen
die	DDART.Fem.Akk.Sg.*	die	dër
claren	ADJA.Pos.Fem.Akk.Sg.wk	klâren	klâr
magt	NA.Fem.Akk.Sg.st	maget	maged
gesehen.>	VVPS	gesehen	gesëhen
sunstritens	NA.Neut.Gen.Sg.st	sunstrîtenes	sunstrîten
zu	APPR	zuo	ze
dem	DDART.Masc.Dat.Sg.*	dem	dër
werd	NA.Masc,Neut.Dat.Sg.st	werde	wërd
und	KON	und	unte
lack	VVFIN.Ind.Past.Sg.1	lac	ligen
zuhannde	APPR|NA.Neut.Dat.Sg.wk	zuo|hande	ze|haben
.	$_	.	.
	
sy	PPER.Masc.Nom.Pl.3	si	ër
harten	VVFIN.Ind.Past.Pl.3	harten	haren
vil	AVD	vile	vile
unlange	AVD	unlange	unlange
do	AVD	dô	dô
,	$_	,	,
so	AVD	sô	sô
fueren	VVFIN.*.Past.Pl.3	vuoren	varen
die	DDART.Masc.Nom.Pl.*	die	dër
ritter	NA.Masc.Nom.Pl.st	ritter	rîtære
zwen	CARDN.Masc.Nom.Pl.st	zwêne	zwêne
die	DDART.Fem.Akk.Sg.*	die	dër
magt	NA.Fem.Akk.Sg.st	maget	maged
zu	APPR	zuo	ze
lannde	NA.Neut.Dat.Sg.st	lande	lant
.	$_	.	.
	
dise	DDA.*.Nom.Pl.*	dise	dise
zwen	CARDA.Masc.Nom.Pl.st	zwêne	zwêne
degen	NA.Masc.Nom.Pl.st	degene	dëgen
millde	ADJN.*.Nom.Pl.st	milte	milte
rüssten	VVFIN.*.Past.Pl.3	rusten	rüsten
sich	PRF.Akk.*.*	sich	sich
mit	APPR	mit	mit
ir	DPOSA	ire	ire
speren	NA.Neut.Dat.Pl.st	speren	spër
;	$_	;	;
lannzillet	NE.Nom.Sg	<unknown>	Lanzillet
sunder	APPR	sunder	sunter
schillde	NA.Masc.Akk.Pl.st	schilde	schilt
den	DDART.Masc.Akk.Sg.*	den	dër
sein	NA.Masc.Akk.Sg.st	sein	sèin
gestreiten	VVINF	gestrîten	gestrîten
der	DDART.Masc.Nom.Sg.*	der	dër
thiost	NA.Fem.Gen.Sg.*	<unknown>	tjoste
wollte	VMFIN.*.Past.Sg.3	wolte	wèllen
weren	VVINF	weren	wèren
.	$_	.	.
	
die	DDART.*.Akk.Pl.*	die	dër
ors	NA.Neut.Akk.Pl.st	ors	ors
mit	APPR	mit	mit
sporen	NA.Neut.Dat.Pl.st	sporen	spor
zen	APPR|DDART.*.Dat.Pl.*	ze|den	ze|dër
seitten	NA.Fem.Dat.Pl.*	seiten	sèite
sy	PPER.Masc.Nom.Pl.3	si	ër
do	AVD	dô	dô
namen	VVFIN.Ind.Past.Pl.3	nâmen	nëmen
.	$_	.	.
	
lannzilet	NE.Nom.Sg	<unknown>	<unknown>
wardt	VAFIN.Ind.Past.Sg.3	wart	wërden
der	DDART.Masc.Nom.Sg.*	der	dër
achsel	NA.Masc.Nom.Sg.st	ahsel	ahsel
wundt	ADJD.Pos	<unknown>	wunt
;	$_	;	;
so	AVD	sô	sô
lag	VVFIN.Ind.Past.Sg.3	lac	ligen
sein	DPOSA	sîn	sîn
gadt	NA.Masc.Nom.Sg.st	gat	<unknown>
unwissent	ADJD.Pos	unwizzende	unwizzente
auf	APPR	ûf	ûf
dem	DDART.Masc.Dat.Sg.*	dem	dër
samen	NA.Masc.Dat.Sg.wk	sâmen	sâme
.	$_	.	.
	
samm	AVD	sam	same
tet	VVFIN.*.Past.Sg.3	tet	tuon
auch	AVD-KO*	ouch	ouch
sein	DPOSA	sîn	sîn
geselle	NA.Masc.Nom.Sg.wk	geselle	gesèlle
,	$_	,	,
das	DDART.Neut.Akk.Sg.*	daz	dër
ors	NA.Neut.Akk.Sg.st	ors	ors
und	KON	und	unte
man	NA.Masc.Nom.Pl.st	manne	mann
zer	APPR|DDART.Fem.Dat.Sg.*	ze|der	ze|dër
erd	NA.Fem.Dat.Sg.st	erde	ërde
lagen	VVFIN.Ind.Past.Pl.3	lâgen	ligen
paid	KON	beide	bèide
mit	APPR	mit	mit
gevelle	NA.Neut.Dat.Sg.st	gevelle	gevèlle
.	$_	.	.
	
lannzilet	NE.Nom.Sg	<unknown>	<unknown>
jach:<	VVFIN.Ind.Past.Sg.3	jach	jëhen
herr	NA.Masc.Nom.Sg.*	hêrr	hêrre
,	$_	,	,
lanngt	VVIMP.Pl.2	langet	<unknown>
her	AVD	her	hëre
ewer	DPOSA	iuwer	iuwer
swert	NA.Neut.Akk.Sg.st	swert	swërt
!	$_	!	!
	
die	DDART.*.Akk.Pl.*	die	dër
ritter	NA.Masc.Akk.Pl.st	ritter	rîtære
payd	DIN.Masc.Akk.Pl.st	beide	bèide
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
ich	PPER.*.Nom.Sg.1	ich	ich
et	AVD	et	ëht
ain	DIART	ein	èin
bestreiten.>	NA.Neut.Akk.Sg.st	bestreiten	bestrîten
alls	KO*	als	allsô
im	PPER.Masc.Dat.Sg.3	im	ër
das	DDART.Neut.Nom.Sg.*	daz	dër
swerdt	NA.Neut.Nom.Sg.st	swert	swërt
zer	APPR|DDART.Fem.Dat.Sg.*	ze|der	ze|dër
hennde	NA.Fem.Dat.Sg.st	hende	hant
wardt	VAFIN.Ind.Past.Sg.3	wart	wërden
,	$_	,	,
manlich	ADJD.Pos	manlich	mannlich
zwanng	VVFIN.Ind.Past.Sg.3	zwanc	<unknown>
er	PPER.Masc.Nom.Sg.3	er	ër
die	DDART.Masc.Akk.Pl.*	die	dër
helld	NA.Masc.Akk.Pl.st	<unknown>	hèled
in	APPR	in	in
kurzen	ADJA.Pos.*.Dat.Pl.*	kurzen	kurz
zeiten	NA.Fem,Neut.Dat.Pl.st	zîten	zît
.	$_	.	.
	
lannzilet	NE.Nom.Sg	<unknown>	<unknown>
sprach:<	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
schnell	NA.Fem.Nom.Sg.*	<unknown>	schëlle
,	$_	,	,
pringet	VVIMP.Pl.2	bringet	bringen
mir	PPER.*.Dat.Sg.1	mir	ich
dise	DDA.Fem.Akk.Sg.*	dise	dise
maget	NA.Fem.Akk.Sg.st	maget	maged
her	AVD	her	hëre
!	$_	!	!
	
darwider	PAVD|PAVAP	dâr|wider	dâr|widere
nicht	PTKNEG	niht	niht
enringet	PTKNEG|VVFIN.Ind.Pres.Sg.3	en|ringet	ne|ringen
!	$_	!	!
	
>ainer	CARDS.Masc.Nom.Sg.st	einer	èin
jach:<	NA.Fem.Gen.Sg.st	jachen	jâche
seid	VVFIN.Ind.Pres.Sg.3	seit	sagen
euch	PPER.*.Dat.Pl.2	iuch	ir
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
der	DDART.*.Gen.Pl.*	der	dër
ding	NA.Neut.Nom.Sg.st	dinc	ding
so	AVD	sô	sô
ger	ADJD.Pos	ger	gir
,	$_	,	,
so	AVD	sô	sô
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
sy	PPER.Fem.Nom.Sg.3	si	ër
ewer	PPER.*.Gen.Pl.2	iuwer	ir
hie	AVD	hier	hièr
des	DDS.Neut.Gen.Sg.*	des	dër
wol	AVD	wole	wole
geniessen	VVINF	geniezen	genièzen
.	$_	.	.
	
nembt	VVIMP.Pl.2	nemet	nëmen
die	DDART.*.Akk.Pl.*	die	dër
schlüssel	NA.Masc.Akk.Pl.st	slüzzel	slüzzel
,	$_	,	,
sprecht	VVIMP.Pl.2	sprechet	sprëchen
,	$_	,	,
das	KOUS	daz	dazz
sy	PPER.*.Nom.Pl.3	si	ër
selb	DDD.*.*.*.st	selp	sëlb
sich	PRF.Akk.*.*	sich	sich
aus	APPR	ûz	ûz
den	DDART.*.Dat.Pl.*	den	dër
panden	NA.Neut.Dat.Pl.st	banden	bant
thue	VVFIN.Subj.Pres.Sg.3	tuo	tuon
damit	PAVD|PAVAP	dâ|mit	dâr|mite
entschliessen	VVFIN.*.Pres.Pl.3	entsliezen	entslièzen
!	$_	!	!
	
>da	AVD	dâ	dâr
die	DDART.Fem.Nom.Sg.*	die	dër
awentewr	NA.Fem.Nom.Sg.*	<unknown>	âventiure
errungen	VVFIN.*.Past.Pl.3	errungen	erringen
do	AVD	dô	dô
von	APPR	von	von
dem	DDART.Masc.Dat.Sg.*	dem	dër
hellden	NA.Masc.Dat.Sg.st	helden	hèled
ward	VAFIN.Ind.Past.Sg.3	wart	wërden
,	$_	,	,
zu	APPR	zuo	ze
haws	NA.Neut.Dat.Sg.st	hûse	hûs
fuert	VVFIN.*.Past.Sg.3	vuorte	vüèren
er	PPER.Masc.Nom.Sg.3	er	ër
den	DDART.Masc.Akk.Sg.*	den	dër
jungen	ADJA.Pos.Masc.Akk.Sg.*	jungen	jung
,	$_	,	,
mit	APPR	mit	mit
im	PPER.Masc.Dat.Sg.3	im	ër
die	DDART.Fem.Akk.Sg.*	die	dër
myniglichen	ADJA.Pos.Fem.Akk.Sg.wk	minniclîchen	minniglich
junkfrawen	NA.Fem.Akk.Sg.st	juncvrouwen	jungvrouwe
zart	ADJN.Fem.Akk.Sg.*	zart	zart
.	$_	.	.
	
nu	AVD	nû	nû
morgens	NA.Masc.Gen.Sg.st	morgenes	morgen
,	$_	,	,
alls	KO*	als	allsô
die	DDART.Fem.Akk.Sg.*	die	dër
sunnerst	AVD.Sup	sunnerst	sunnerest
gunde	VVFIN.*.Past.Sg.3	gunde	gunnen
her	PPER.Masc.Nom.Sg.3	her	ër
glitzen	VVINF	glitzen	glitzen
,	$_	,	,
fuert	VVFIN.*.Past.Sg.3	vuorte	vüèren
er	PPER.Masc.Nom.Sg.3	er	ër
den	DDART.*.Dat.Pl.*	den	dër
hellden	NA.Masc.Dat.Pl.st	helden	hèled
für	APPR	vüre	vüre
den	DDART.Masc.Akk.Sg.*	den	dër
walld	NA.Masc.Akk.Sg.st	walt	wald
.	$_	.	.
	
do	AVD	dô	dô
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
er	PPER.Masc.Nom.Sg.3	er	ër
vor	APPR	vore	vore
dem	DDART.Neut.Dat.Sg.*	dem	dër
zelld	NA.Neut.Dat.Sg.st	<unknown>	<unknown>
den	DDART.Masc.Akk.Sg.*	den	dër
ritter	NA.Masc.Akk.Sg.st	ritter	rîtære
sitzen	VVINF	sitzen	sitzen
.	$_	.	.
	
den	DDART.Masc.Akk.Sg.*	den	dër
helem	NA.Masc.Akk.Sg.*	helm	hëlme
schnell	VVFIN.Ind.Past.Sg.3	<unknown>	<unknown>
zu	APPR	zuo	ze
haubet	NA.Neut.Dat.Sg.st	houbete	houbet
der	DDART.Masc.Nom.Sg.*	der	dër
junge	ADJA.Pos.Masc.Nom.Sg.wk	junge	jung
helld	NA.Masc.Nom.Sg.st	<unknown>	hèled
do	AVD	dô	dô
panndt	VVFIN.Ind.Past.Sg.3	<unknown>	<unknown>
.	$_	.	.
	
an	APPR	an	ane
manhait	NA.Fem.Dat.Sg.st	manheit	mannhèit
der	DDART.Masc.Nom.Sg.*	der	dër
unbetaubet	ADJD.Pos	unbetoubet	unbetoubet
rait	VVFIN.Ind.Past.Sg.3	reit	rîten
zu	APPR	zuo	ze
dem	DDART.Masc.Dat.Sg.*	dem	dër
pavilun	NA.Masc.Dat.Sg.st	pavelûne	pavelûn
,	$_	,	,
er	PPER.Masc.Nom.Sg.3	er	ër
sprach:<	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
ermannt	VVPP	ermanet	ermanen
seyd	VVFIN.Ind.Pres.Sg.3	seit	sëhen
noch	KON	noch	noh
der	DDART.*.Gen.Pl.*	der	dër
wort	NA.Neut.Gen.Pl.st	worte	wort
,	$_	,	,
alls	DIA.Neut.Akk.Sg.st	allez	all
ir	DPOSA	ire	ire
necht	NA.Neut.Akk.Sg.st	niht	niht
tet	VVFIN.*.Past.Sg.3	tet	tuon
verjehen	VVINF	verjehen	verjëhen
,	$_	,	,
ir	PPER.*.Nom.Pl.2	ir	ir
wollt	VMFIN.*.Pres.Pl.2	wollet	wèllen
mir	PPER.*.Dat.Sg.1	mir	ich
weysen	VVINF	weisen	wèisen
dise	DDA.Fem.Akk.Sg.*	dise	dise
magt.>	NA.Fem.Akk.Sg.st	maget	maged
jenr	DDS.Masc.Nom.Sg.st	jener	jèner
sprach:<	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
das	DDS.Neut.Nom.Sg.*	daz	dër
mag	VMFIN.Ind.Pres.Sg.3	mac	mügen
nicht	PTKNEG	niht	niht
sunder	APPR	sunder	sunter
streyt	NA.Masc.Akk.Sg.st	strît	strît
beschehen	VVINF	beschehen	beschëhen
!	$_	!	!
	
><so	AVD	ûze	ièsô
wappent	VVIMP.Pl.2	wâpenet	wappen
euch	PRF.Akk.Pl.st	iuch	ir
enzeiten	AVD	enzîten	enzît
,	$_	,	,
diss	DDS.Neut.Gen.Sg.*	dises	dise
mag	VMFIN.Ind.Pres.Sg.3	mac	mügen
nicht	NA.Neut.Nom.Sg.st	niht	niht
annders	DIS.Neut.Gen.Sg.st	anders	ander
wesen	VAINF	wesen	wësen
,	$_	,	,
soll	VMFIN.Ind.Pres.Sg.1	sol	solen
ichs	PPER.*.Nom.Sg.1|PPER.Neut.Gen.Sg.3	ich|es	ich|ër
ab	AVD	ab	aber
euch	PPER.*.Akk.Pl.2	iuch	ir
erstreiten.>	VVINF	erstreiten	erstrîten
der	DDART.*.Gen.Pl.*	der	dër
ritter	NA.Masc.Gen.Pl.st	ritter	rîtære
sprach:<	NA.Fem.Nom.Sg.*	sprâche	sprâche
noch	KON	noch	noh
mynner	AVD.Comp	minner	minner
dann	KOKOM	danne	danne
ain	DIART	ein	èin
vesen	NA.Neut.Akk.Sg.st	vesen	wësen
geb	VVFIN.*.Pres.Sg.1	gebe	gëben
ich	PPER.*.Nom.Sg.1	ich	ich
durch	APPR	durch	durh
euch	PPER.*.Akk.Pl.2	iuch	ir
,	$_	,	,
